Date,HCG
2016-03-31,178.5500030517578
2016-04-01,175.10000610351562
2016-04-04,181.10000610351562
2016-04-05,181.3000030517578
2016-04-06,181.89999389648438
2016-04-07,179.39999389648438
2016-04-08,182.14999389648438
2016-04-11,183.0
2016-04-12,192.0
2016-04-13,190.35000610351562
2016-04-18,193.5
2016-04-20,187.14999389648438
2016-04-21,192.3000030517578
2016-04-22,191.39999389648438
2016-04-25,187.3000030517578
2016-04-26,181.8000030517578
2016-04-27,184.0
2016-04-28,184.60000610351562
2016-04-29,183.3000030517578
2016-05-02,181.1999969482422
2016-05-03,184.89999389648438
2016-05-04,181.89999389648438
2016-05-05,180.5500030517578
2016-05-06,181.64999389648438
2016-05-09,180.6999969482422
2016-05-10,179.8000030517578
2016-05-11,176.25
2016-05-12,178.60000610351562
2016-05-13,195.0
2016-05-16,190.5
2016-05-17,189.4499969482422
2016-05-18,187.4499969482422
2016-05-19,184.0500030517578
2016-05-20,180.8000030517578
2016-05-23,180.0500030517578
2016-05-24,180.14999389648438
2016-05-25,183.5
2016-05-26,183.5500030517578
2016-05-27,182.25
2016-05-30,184.6999969482422
2016-05-31,181.25
2016-06-01,180.35000610351562
2016-06-02,179.60000610351562
2016-06-03,180.0500030517578
2016-06-06,178.0
2016-06-07,180.75
2016-06-08,181.5
2016-06-09,180.85000610351562
2016-06-10,182.85000610351562
2016-06-13,182.0
2016-06-14,182.10000610351562
2016-06-15,182.5
2016-06-16,180.75
2016-06-17,179.6999969482422
2016-06-20,180.0500030517578
2016-06-21,179.35000610351562
2016-06-22,179.0
2016-06-23,178.3000030517578
2016-06-24,171.35000610351562
2016-06-27,174.4499969482422
2016-06-28,180.0
2016-06-29,181.14999389648438
2016-06-30,183.64999389648438
2016-07-01,183.14999389648438
2016-07-04,188.39999389648438
2016-07-05,190.0500030517578
2016-07-07,190.35000610351562
2016-07-08,189.85000610351562
2016-07-11,190.3000030517578
2016-07-12,188.25
2016-07-13,188.5
2016-07-14,189.1999969482422
2016-07-15,189.10000610351562
2016-07-18,190.3000030517578
2016-07-19,194.5
2016-07-20,193.0500030517578
2016-07-21,195.5
2016-07-22,199.0
2016-07-25,199.39999389648438
2016-07-26,193.39999389648438
2016-07-27,196.5500030517578
2016-07-28,203.5500030517578
2016-07-29,203.25
2016-08-01,204.0
2016-08-02,202.5500030517578
2016-08-03,203.3000030517578
2016-08-04,205.6999969482422
2016-08-05,207.39999389648438
2016-08-08,207.14999389648438
2016-08-09,205.0500030517578
2016-08-10,202.60000610351562
2016-08-11,200.14999389648438
2016-08-12,200.60000610351562
2016-08-16,201.5
2016-08-17,199.64999389648438
2016-08-18,205.9499969482422
2016-08-19,208.25
2016-08-22,214.39999389648438
2016-08-23,211.64999389648438
2016-08-24,214.25
2016-08-25,217.10000610351562
2016-08-26,212.39999389648438
2016-08-29,211.14999389648438
2016-08-30,214.60000610351562
2016-08-31,219.8000030517578
2016-09-01,215.9499969482422
2016-09-02,214.4499969482422
2016-09-06,213.60000610351562
2016-09-07,212.75
2016-09-08,215.25
2016-09-09,215.5500030517578
2016-09-12,215.25
2016-09-14,218.35000610351562
2016-09-15,215.10000610351562
2016-09-16,215.0
2016-09-19,215.1999969482422
2016-09-20,215.0
2016-09-21,214.9499969482422
2016-09-22,216.39999389648438
2016-09-23,215.14999389648438
2016-09-26,215.1999969482422
