Date,J&KBANK
2002-08-12,5.519784450531006
2002-08-13,5.7395100593566895
2002-08-14,5.709548473358154
2002-08-15,5.709548473358154
2002-08-16,5.726194858551025
2002-08-19,5.84604549407959
2002-08-20,5.84604549407959
2002-08-21,5.9592366218566895
2002-08-22,6.032480716705322
2002-08-23,6.102392196655273
2002-08-26,6.149000644683838
2002-08-27,6.002517223358154
2002-08-28,5.969224452972412
2002-08-29,5.919288158416748
2002-08-30,6.029150009155273
2002-09-02,5.895982265472412
2002-09-03,5.832727909088135
2002-09-04,5.819411754608154
2002-09-05,5.876008033752441
2002-09-06,5.796107292175293
2002-09-09,5.716206073760986
2002-09-10,5.716206073760986
2002-09-11,5.84604549407959
2002-09-12,5.892653465270996
2002-09-13,5.92594575881958
2002-09-16,5.7927775382995605
2002-09-17,5.915957450866699
2002-09-18,5.836057186126709
2002-09-19,5.789449214935303
2002-09-20,5.762816429138184
2002-09-23,5.809424877166748
2002-09-24,5.772802352905273
2002-09-25,5.809424877166748
2002-09-26,5.836057186126709
2002-09-27,6.039138317108154
2002-09-30,6.042466640472412
2002-10-01,6.0058465003967285
2002-10-02,6.0058465003967285
2002-10-03,6.082416534423828
2002-10-04,6.019162654876709
2002-10-07,6.07243013381958
2002-10-08,6.095734119415283
2002-10-09,5.932603359222412
2002-10-10,5.859361171722412
2002-10-11,5.71287727355957
2002-10-14,5.609673500061035
2002-10-15,5.609673500061035
2002-10-16,5.606343746185303
2002-10-17,5.473175525665283
2002-10-18,5.539760589599609
2002-10-21,5.47983455657959
2002-10-22,5.489821910858154
2002-10-23,5.4532012939453125
2002-10-24,5.3999342918396
2002-10-25,5.366641998291016
2002-10-28,5.320033073425293
2002-10-29,5.429897308349609
2002-10-30,5.463188648223877
2002-10-31,5.546419143676758
2002-11-01,5.496480941772461
2002-11-04,5.543089389801025
2002-11-05,5.549746990203857
2002-11-06,5.549746990203857
2002-11-07,5.473175525665283
2002-11-08,5.416581153869629
2002-11-11,5.459859848022461
2002-11-12,5.459859848022461
2002-11-13,5.423239707946777
2002-11-14,5.346667766571045
2002-11-15,5.356654167175293
2002-11-18,5.376629829406738
2002-11-19,5.376629829406738
2002-11-20,5.396605014801025
2002-11-21,5.4132513999938965
2002-11-22,5.506468296051025
2002-11-25,5.433226108551025
2002-11-26,5.509796142578125
2002-11-27,5.476505756378174
2002-11-28,5.526443958282471
2002-11-29,5.526443958282471
2002-12-02,5.862689971923828
2002-12-03,5.895982265472412
2002-12-04,5.746169090270996
2002-12-05,5.759486675262451
2002-12-06,5.952579498291016
2002-12-09,5.919288158416748
2002-12-10,5.999187469482422
2002-12-11,6.009174823760986
2002-12-12,6.505222797393799
2002-12-13,6.808177947998047
2002-12-16,6.811506748199463
2002-12-17,6.901394367218018
2002-12-18,6.93135929107666
2002-12-19,6.744924068450928
2002-12-20,6.675011157989502
2002-12-23,6.565147399902344
2002-12-24,6.661694526672363
2002-12-25,6.661694526672363
2002-12-26,6.638391017913818
2002-12-27,6.605098724365234
2002-12-30,6.528528213500977
2002-12-31,6.4819183349609375
2003-01-01,6.448627948760986
2003-01-02,6.728277206420898
2003-01-03,6.794862747192383
2003-01-06,6.8181657791137695
2003-01-07,6.941346168518066
2003-01-08,6.977967739105225
2003-01-09,7.127780914306641
2003-01-10,7.600523471832275
2003-01-13,7.673765659332275
2003-01-14,7.68042516708374
2003-01-15,8.056619644165039
2003-01-16,8.292994499206543
2003-01-17,8.106559753417969
2003-01-20,8.046634674072266
2003-01-21,8.3695650100708
2003-01-22,8.779056549072266
2003-01-23,8.662532806396484
2003-01-24,8.362906455993652
2003-01-27,7.95341682434082
2003-01-28,8.093242645263672
2003-01-29,8.163156509399414
2003-01-30,7.950088977813721
2003-01-31,7.933441162109375
2003-02-03,8.376225471496582
2003-02-04,8.449463844299316
2003-02-05,8.33960247039795
2003-02-06,8.502734184265137
2003-02-07,8.838980674743652
2003-02-10,8.292994499206543
2003-02-11,8.089914321899414
2003-02-12,8.003355026245117
2003-02-13,8.003355026245117
2003-02-14,7.863531112670898
2003-02-17,8.07992935180664
2003-02-18,8.053293228149414
2003-02-19,8.516050338745117
2003-02-20,8.3329439163208
2003-02-21,8.379554748535156
2003-02-24,8.532694816589355
2003-02-25,8.206436157226562
2003-02-26,8.059950828552246
2003-02-27,8.219752311706543
2003-02-28,8.086584091186523
2003-03-03,8.256372451782227
2003-03-04,8.086584091186523
2003-03-05,7.950088977813721
2003-03-06,7.840224266052246
2003-03-07,7.683753967285156
2003-03-10,7.6171698570251465
2003-03-11,7.63714599609375
2003-03-12,7.647132396697998
2003-03-13,7.577221870422363
2003-03-14,7.577221870422363
2003-03-17,7.50730562210083
2003-03-18,7.50730562210083
2003-03-19,7.543928623199463
2003-03-20,7.643803596496582
2003-03-21,7.643803596496582
2003-03-24,7.533938884735107
2003-03-25,7.5938639640808105
2003-03-26,7.5539164543151855
2003-03-27,7.5738911628723145
2003-03-28,7.733692646026611
2003-03-31,7.580549716949463
2003-04-01,7.800275802612305
2003-04-02,8.239727973937988
2003-04-03,8.439477920532227
2003-04-04,8.552671432495117
2003-04-07,8.38288402557373
2003-04-08,8.585962295532227
2003-04-09,8.439477920532227
2003-04-10,8.32961368560791
2003-04-11,8.372894287109375
2003-04-15,8.625916481018066
2003-04-16,8.812346458435059
2003-04-17,8.605936050415039
2003-04-18,8.605936050415039
2003-04-21,8.665862083435059
2003-04-22,8.922210693359375
2003-04-23,8.958829879760742
2003-04-24,9.118630409240723
2003-04-25,9.1386079788208
2003-04-28,9.694581031799316
2003-04-29,9.52479362487793
2003-04-30,9.857709884643555
2003-05-01,9.857709884643555
