Date,TBOTEK
2024-05-15,1406.300048828125
2024-05-16,1460.25
2024-05-17,1451.6500244140625
2024-05-21,1416.5999755859375
2024-05-22,1395.550048828125
2024-05-23,1415.5
2024-05-24,1387.050048828125
2024-05-27,1436.0
2024-05-28,1417.25
2024-05-29,1418.199951171875
2024-05-30,1395.050048828125
2024-05-31,1408.0
2024-06-03,1447.449951171875
2024-06-04,1376.199951171875
2024-06-05,1402.300048828125
2024-06-06,1415.199951171875
2024-06-07,1525.5
2024-06-10,1532.6500244140625
2024-06-11,1557.25
2024-06-12,1530.050048828125
2024-06-13,1563.449951171875
2024-06-14,1606.5999755859375
2024-06-18,1607.25
2024-06-19,1582.300048828125
2024-06-20,1600.050048828125
2024-06-21,1588.0999755859375
2024-06-24,1699.8499755859375
2024-06-25,1864.6500244140625
2024-06-26,1894.4000244140625
2024-06-27,1899.75
2024-06-28,1902.9000244140625
2024-07-01,1899.199951171875
2024-07-02,1830.8499755859375
2024-07-03,1800.4000244140625
2024-07-04,1871.25
2024-07-05,1844.050048828125
2024-07-08,1819.699951171875
2024-07-09,1823.3499755859375
2024-07-10,1858.800048828125
2024-07-11,1793.300048828125
2024-07-12,1806.5999755859375
2024-07-15,1807.199951171875
2024-07-16,1799.1500244140625
2024-07-18,1779.300048828125
2024-07-19,1732.800048828125
2024-07-22,1764.199951171875
2024-07-23,1738.6500244140625
2024-07-24,1743.25
2024-07-25,1724.0
2024-07-26,1748.9000244140625
2024-07-29,1715.949951171875
2024-07-30,1729.5
2024-07-31,1836.25
2024-08-01,1769.0
2024-08-02,1737.699951171875
2024-08-05,1672.9000244140625
2024-08-06,1641.949951171875
2024-08-07,1679.0
2024-08-08,1686.6500244140625
2024-08-09,1732.25
2024-08-12,1701.0999755859375
2024-08-13,1637.25
2024-08-14,1574.75
2024-08-16,1575.9000244140625
2024-08-19,1596.949951171875
2024-08-20,1615.050048828125
2024-08-21,1600.550048828125
2024-08-22,1669.25
2024-08-23,1726.8499755859375
2024-08-26,1784.1500244140625
2024-08-27,1734.800048828125
2024-08-28,1699.0999755859375
