Date,JUBLFOOD
2010-02-08,23.40378761291504
2010-02-09,23.75397300720215
2010-02-10,22.859060287475586
2010-02-11,22.465105056762695
2010-02-15,22.290014266967773
2010-02-16,22.397014617919922
2010-02-17,23.45728874206543
2010-02-18,22.460243225097656
2010-02-19,22.0662899017334
2010-02-22,22.411609649658203
2010-02-23,21.3853816986084
2010-02-24,21.58479118347168
2010-02-25,21.87660789489746
2010-02-26,22.348377227783203
2010-03-02,22.703426361083984
2010-03-03,22.411609649658203
2010-03-04,23.009836196899414
2010-03-05,25.120647430419922
2010-03-08,26.90073585510254
2010-03-09,29.152599334716797
2010-03-10,27.81023597717285
2010-03-11,26.929922103881836
2010-03-12,27.86859893798828
2010-03-15,27.192556381225586
2010-03-16,28.097192764282227
2010-03-17,28.053421020507812
2010-03-18,28.6613712310791
2010-03-19,33.510414123535156
2010-03-22,33.165096282958984
2010-03-23,32.163185119628906
2010-03-25,32.931640625
2010-03-26,32.936492919921875
2010-03-29,30.781911849975586
2010-03-30,30.981325149536133
2010-03-31,30.50468635559082
2010-04-01,31.209909439086914
2010-04-05,35.18349075317383
2010-04-06,34.61445236206055
2010-04-07,40.89826583862305
2010-04-08,37.77095031738281
2010-04-09,34.794410705566406
2010-04-12,35.105682373046875
2010-04-13,35.300228118896484
2010-04-15,34.74090576171875
2010-04-16,33.49095916748047
2010-04-19,32.688453674316406
2010-04-20,33.024051666259766
2010-04-21,34.20591354370117
2010-04-22,34.76523208618164
2010-04-23,34.21563720703125
2010-04-26,34.28858947753906
2010-04-27,33.77791213989258
2010-04-28,32.55227279663086
2010-04-29,33.204002380371094
2010-04-30,33.07268142700195
2010-05-03,32.38690948486328
2010-05-04,31.662233352661133
2010-05-05,32.66415023803711
2010-05-06,31.579553604125977
2010-05-07,30.674915313720703
2010-05-10,31.90054702758789
2010-05-11,31.86163902282715
2010-05-12,31.025096893310547
2010-05-13,30.864595413208008
2010-05-14,29.196369171142578
2010-05-17,27.819965362548828
2010-05-18,27.26551055908203
2010-05-19,26.39005470275879
2010-05-20,25.39301109313965
2010-05-21,27.085556030273438
2010-05-24,27.343326568603516
2010-05-25,26.472736358642578
2010-05-26,26.424102783203125
2010-05-27,27.216873168945312
2010-05-28,27.747011184692383
2010-05-31,27.323875427246094
2010-06-01,26.934782028198242
2010-06-02,28.038829803466797
2010-06-03,28.418188095092773
2010-06-04,28.063142776489258
2010-06-07,27.586509704589844
2010-06-08,27.24118995666504
2010-06-09,27.250917434692383
2010-06-10,27.907508850097656
2010-06-11,27.445465087890625
2010-06-14,27.503828048706055
2010-06-15,27.766468048095703
2010-06-16,29.157461166381836
2010-06-17,29.82377815246582
2010-06-18,29.62923240661621
2010-06-21,29.81891632080078
2010-06-22,29.45900535583496
2010-06-23,29.799457550048828
2010-06-24,30.227460861206055
2010-06-25,29.673002243041992
2010-06-28,29.891870498657227
2010-06-29,29.62923240661621
2010-06-30,29.65355110168457
2010-07-01,29.444414138793945
2010-07-02,31.307188034057617
2010-07-05,32.177772521972656
2010-07-06,32.27991485595703
2010-07-07,31.95891571044922
2010-07-08,32.459861755371094
2010-07-09,32.26531982421875
2010-07-12,32.654415130615234
2010-07-13,32.814910888671875
2010-07-14,32.79545974731445
2010-07-15,32.48418426513672
2010-07-16,32.498779296875
2010-07-19,32.32368850708008
2010-07-20,32.44526672363281
2010-07-21,32.766273498535156
2010-07-22,33.310997009277344
2010-07-23,33.47636413574219
2010-07-26,31.924869537353516
2010-07-27,32.37232208251953
2010-07-28,32.785728454589844
2010-07-29,32.69332504272461
2010-07-30,33.914093017578125
2010-08-02,35.95195388793945
2010-08-03,40.8544921875
2010-08-04,39.36621856689453
2010-08-05,40.68426513671875
2010-08-06,40.04712677001953
2010-08-09,44.871856689453125
2010-08-10,44.90103530883789
2010-08-11,42.92153549194336
2010-08-12,44.12771987915039
2010-08-13,44.730804443359375
2010-08-16,44.02558135986328
2010-08-17,43.75321578979492
2010-08-18,45.27553176879883
2010-08-19,48.329898834228516
2010-08-20,52.42020034790039
2010-08-23,52.87251663208008
2010-08-24,51.680931091308594
2010-08-25,50.44557189941406
2010-08-26,50.139163970947266
2010-08-27,47.27448272705078
2010-08-30,47.794891357421875
