Date,EIDPARRY
2002-07-01,3.634218215942383
2002-07-02,3.667544364929199
2002-07-03,3.500912666320801
2002-07-04,3.6725430488586426
2002-07-05,4.51740026473999
2002-07-08,4.976467609405518
2002-07-09,5.301910877227783
2002-07-10,5.174750804901123
2002-07-11,5.0346598625183105
2002-07-12,4.957070350646973
2002-07-15,4.982934474945068
2002-07-16,5.209235191345215
2002-07-17,5.375188827514648
2002-07-18,5.448467254638672
2002-07-19,5.349326133728027
2002-07-22,4.978622913360596
2002-07-23,5.043281555175781
2002-07-24,4.814824104309082
2002-07-25,4.786805152893066
2002-07-26,4.558350086212158
2002-07-29,4.323427200317383
2002-07-30,4.273855686187744
2002-07-31,4.043246746063232
2002-08-01,4.032469749450684
2002-08-02,4.069108963012695
2002-08-05,4.008762359619141
2002-08-06,3.961345672607422
2002-08-07,4.051866054534912
2002-08-08,4.049710750579834
2002-08-09,4.013072490692139
2002-08-12,4.073419570922852
2002-08-13,4.112214088439941
2002-08-14,4.133766174316406
2002-08-15,4.133766174316406
2002-08-16,4.204889297485352
2002-08-19,4.217822074890137
2002-08-20,4.301875114440918
2002-08-21,4.278167247772217
2002-08-22,4.33851432800293
2002-08-23,4.245840072631836
2002-08-26,4.179026126861572
2002-08-27,4.12945556640625
2002-08-28,4.07772970199585
2002-08-29,4.110058784484863
2002-08-30,4.151008129119873
2002-09-02,4.0971269607543945
2002-09-03,4.079885482788086
2002-09-04,4.090660095214844
2002-09-05,4.1768717765808105
2002-09-06,4.157474040985107
2002-09-09,4.021691799163818
2002-09-10,4.021691799163818
2002-09-11,4.069108963012695
2002-09-12,4.04109001159668
2002-09-13,4.0475568771362305
2002-09-16,3.9850540161132812
2002-09-17,4.023848533630371
2002-09-18,4.010916233062744
2002-09-19,3.991518974304199
2002-09-20,4.010916233062744
2002-09-23,3.9958302974700928
2002-09-24,4.006606578826904
2002-09-25,3.978588819503784
2002-09-26,3.9721219539642334
2002-09-27,4.026002883911133
2002-09-30,4.07557487487793
2002-10-01,3.993675708770752
2002-10-02,3.993675708770752
2002-10-03,3.9699666500091553
2002-10-04,3.9053103923797607
2002-10-07,3.888068199157715
2002-10-08,3.857893943786621
2002-10-09,3.8169450759887695
2002-10-10,3.7846157550811768
2002-10-11,3.847118377685547
2002-10-14,3.8234102725982666
2002-10-15,3.8234102725982666
2002-10-16,3.7824606895446777
2002-10-17,3.7953920364379883
2002-10-18,3.771684169769287
2002-10-21,3.752286672592163
2002-10-22,3.7070274353027344
2002-10-23,3.7458205223083496
2002-10-24,3.666076898574829
2002-10-25,3.642369508743286
2002-10-28,3.424689531326294
2002-10-29,3.4483964443206787
2002-10-30,3.420379161834717
2002-10-31,3.3621866703033447
2002-11-01,3.3514106273651123
