Date,NESCO
2008-04-08,95.5108642578125
2008-04-09,102.7270736694336
2008-04-10,104.9242935180664
2008-04-11,108.94951629638672
2008-04-15,108.92668914794922
2008-04-16,130.56619262695312
2008-04-17,137.28094482421875
2008-04-21,136.50596618652344
2008-04-22,135.0335693359375
2008-04-23,131.64202880859375
2008-04-24,129.42652893066406
2008-04-25,122.50205993652344
2008-04-28,120.80175018310547
2008-04-29,144.61109924316406
2008-04-30,135.15664672851562
2008-05-02,134.85577392578125
2008-05-05,138.93115234375
2008-05-06,132.8363494873047
2008-05-07,131.35028076171875
2008-05-08,129.1393585205078
2008-05-09,128.2869110107422
2008-05-12,120.71512603759766
2008-05-13,121.61319732666016
2008-05-14,120.38690185546875
2008-05-15,121.05703735351562
2008-05-16,122.26504516601562
2008-05-20,122.33341979980469
2008-05-21,123.04000091552734
2008-05-22,122.66619110107422
2008-05-23,118.51789855957031
2008-05-26,115.1126708984375
2008-05-27,109.32331085205078
2008-05-28,107.63209533691406
2008-05-29,105.11119842529297
2008-05-30,104.04452514648438
2008-06-02,101.84271240234375
2008-06-03,96.9149169921875
2008-06-04,93.57807159423828
2008-06-05,96.44537353515625
2008-06-06,97.19755554199219
2008-06-09,92.27427673339844
2008-06-10,90.56028747558594
2008-06-11,93.69657135009766
2008-06-12,93.65554809570312
2008-06-13,97.74457550048828
2008-06-16,97.37076568603516
2008-06-17,96.64141845703125
2008-06-18,95.5199966430664
2008-06-19,94.04303741455078
2008-06-20,88.9967041015625
2008-06-23,84.78459930419922
2008-06-24,83.14351654052734
2008-06-25,85.1219253540039
2008-06-26,87.41033172607422
2008-06-27,82.27283477783203
2008-06-30,76.56097412109375
2008-07-01,70.83085632324219
2008-07-02,74.41845703125
2008-07-03,76.26010131835938
2008-07-04,81.36111450195312
2008-07-07,81.34290313720703
2008-07-08,79.29153442382812
2008-07-09,84.15097045898438
2008-07-10,81.9309310913086
2008-07-11,79.63343811035156
2008-07-14,77.3541488647461
2008-07-15,74.16771697998047
2008-07-16,73.00984954833984
2008-07-17,71.85653686523438
2008-07-18,75.68571472167969
2008-07-21,73.07823181152344
2008-07-22,78.863037109375
2008-07-23,85.8832015991211
2008-07-24,81.23347473144531
2008-07-25,81.93550872802734
2008-07-28,82.95661926269531
2008-07-29,81.09672546386719
2008-07-30,82.99308776855469
2008-07-31,81.1423110961914
2008-08-01,82.19078826904297
2008-08-04,85.45927429199219
2008-08-05,96.99696350097656
2008-08-06,93.23617553710938
2008-08-07,94.03392791748047
2008-08-08,89.976806640625
2008-08-11,90.56941223144531
2008-08-12,90.5101547241211
2008-08-13,90.72895050048828
2008-08-14,88.48617553710938
2008-08-18,84.99887084960938
2008-08-19,83.97774505615234
2008-08-20,84.76636505126953
2008-08-21,82.53433990478516
2008-08-22,81.21521759033203
2008-08-25,84.93524932861328
2008-08-26,85.38713836669922
2008-08-27,83.8899917602539
2008-08-28,81.99785614013672
2008-08-29,84.9046401977539
2008-09-01,86.9795913696289
2008-09-02,93.25020599365234
2008-09-04,93.49699401855469
2008-09-05,90.71361541748047
2008-09-08,93.18167114257812
2008-09-09,90.25657653808594
2008-09-10,88.66608428955078
2008-09-11,87.31322479248047
2008-09-12,86.8470458984375
2008-09-15,82.35890197753906
2008-09-16,78.23636627197266
2008-09-17,76.25740051269531
2008-09-18,74.74916076660156
2008-09-19,77.7107925415039
2008-09-22,76.82868957519531
2008-09-23,74.61660766601562
2008-09-24,75.00965118408203
2008-09-25,74.497802734375
2008-09-26,73.23635864257812
2008-09-29,67.43650817871094
2008-09-30,67.1485595703125
2008-10-01,67.74272155761719
2008-10-03,66.7463607788086
2008-10-06,58.41905212402344
2008-10-07,57.72435760498047
2008-10-08,52.038761138916016
2008-10-10,47.797401428222656
2008-10-13,49.296512603759766
2008-10-14,50.347713470458984
2008-10-15,46.39887237548828
2008-10-16,45.507633209228516
2008-10-17,43.656612396240234
2008-10-20,41.77360153198242
2008-10-21,42.32662582397461
2008-10-22,39.43811798095703
2008-10-23,36.67758560180664
2008-10-24,32.7607421875
2008-10-27,39.305580139160156
2008-10-29,41.07889938354492
2008-10-31,43.47836685180664
2008-11-03,48.06706237792969
2008-11-04,52.701473236083984
2008-11-05,50.8001823425293
2008-11-06,48.588096618652344
2008-11-07,48.1676139831543
2008-11-10,48.98115158081055
2008-11-11,48.63379669189453
2008-11-12,44.36503601074219
2008-11-14,43.37782669067383
2008-11-17,39.28729248046875
2008-11-18,40.315635681152344
2008-11-19,39.72605514526367
2008-11-20,35.76350784301758
2008-11-21,36.96552658081055
2008-11-24,35.99659729003906
2008-11-25,35.868629455566406
2008-11-26,34.4289436340332
2008-11-27,34.4289436340332
2008-11-28,33.807373046875
2008-12-01,34.15928268432617
2008-12-02,36.10628128051758
2008-12-03,38.112693786621094
2008-12-04,40.76354217529297
2008-12-05,37.66023254394531
2008-12-08,38.09441375732422
2008-12-10,40.969215393066406
2008-12-11,41.70962142944336
2008-12-12,45.79556655883789
