trigger_word,theme,source_lexicon,section,count,per_1000_words,context_snippet,symbol,filing_date,call_date,url
capital expenditure,capital_actions,custom,remarks,1,0.5197505197505198,"reserving space for growth-supportive monetary policy. Conditions appear favourable for a capital expenditure cycle, with capacity utilization at elevated levels and healthy corpor",ABSLAMC,2026-01-29,2026-01-22,https://nsearchives.nseindia.com/corporate/ABSLAMC_29012026151748_ABSLAMC.pdf
market share gain,positive_guidance,custom,QnA,1,0.2352387673488591,"of market share. So, when do you see the effect of this fund performance translating into market share gains, both on SIP as well as normal market share? A Balasubramanian: Thanks,",ABSLAMC,2026-01-29,2026-01-22,https://nsearchives.nseindia.com/corporate/ABSLAMC_29012026151748_ABSLAMC.pdf
order book,positive_guidance,custom,QnA,14,2.0588235294117645,"l active working dealer for the company as on 30th September is 2,100. I will the present order booking is INR3,824 crores as on 30th September 2025. There is strong demand for the",KEI,2025-10-19,2025-10-16,https://nsearchives.nseindia.com/corporate/KEI_19102025230346_Intimationofconcalltranscript.pdf
margin expansion,positive_guidance,custom,QnA,3,0.4411764705882353,"October 16, 2025 there seems to be some delay at Sanand as well. So I mean, what kind of margin expansion one should build going into '26-'27? Rajeev Gupta: Sir, '26-'27, the same ",KEI,2025-10-19,2025-10-16,https://nsearchives.nseindia.com/corporate/KEI_19102025230346_Intimationofconcalltranscript.pdf
slowdown,negative_caution,custom,QnA,2,0.29411764705882354,"from fourth quarter onwards from Sanand to our existing operations. I don't see any less slowdown in demand growth in domestic market because the growth is driven by energy sector,",KEI,2025-10-19,2025-10-16,https://nsearchives.nseindia.com/corporate/KEI_19102025230346_Intimationofconcalltranscript.pdf
muted,negative_caution,custom,QnA,1,0.14705882352941177,"de. When I look at this particular quarter, the Domestic business growth seems to be very muted at about 3%-odd growth. Now even if I adjust and adjusting for that, the price incre",KEI,2025-10-19,2025-10-16,https://nsearchives.nseindia.com/corporate/KEI_19102025230346_Intimationofconcalltranscript.pdf
capex,capital_actions,custom,QnA,2,0.29411764705882354,"exchange from the monitoring agency saying that there has been some fallback in terms of capex and therefore, there is a delay. Can you help us understand how much delay in terms o",KEI,2025-10-19,2025-10-16,https://nsearchives.nseindia.com/corporate/KEI_19102025230346_Intimationofconcalltranscript.pdf
order book,positive_guidance,custom,remarks,1,0.9354536950420954,ashing machine business has also grown at around 57% on a Y-o-Y and coolers grew at 169%. Order book for product business remains very robust and the company is on track to scale t,PGEL,2023-05-31,,https://nsearchives.nseindia.com/corporate/PGEL_31052023183945_TranscriptECQ4.pdf
operating leverage,positive_guidance,custom,remarks,1,0.9354536950420954,"ter and FY ‘23 operating margins improved due to cost control, lower commodity prices and operating leverage. On balance sheet, we have had an increase of about INR158 crores of de",PGEL,2023-05-31,,https://nsearchives.nseindia.com/corporate/PGEL_31052023183945_TranscriptECQ4.pdf
capex,capital_actions,custom,remarks,2,1.8709073900841908,"hope to scale up this business from INR1,341 crores to around INR1,920 crores in FY ‘24. Capex guidance for FY ‘24 is around INR170 crores to INR180 crores and company has further ",PGEL,2023-05-31,,https://nsearchives.nseindia.com/corporate/PGEL_31052023183945_TranscriptECQ4.pdf
operating leverage,positive_guidance,custom,QnA,2,0.26413100898045433,"the range of 7% to 8% only. This is a high season for AC and this quarter we had a lot of operating leverage. In fact, if you will see, during the quarter, the gross contribution m",PGEL,2023-05-31,,https://nsearchives.nseindia.com/corporate/PGEL_31052023183945_TranscriptECQ4.pdf
muted,negative_caution,custom,QnA,1,0.13206550449022716,"Hem [inaudible] Securities. Please go ahead. Mr. Mukesh Jain, the line for you has been unmuted. You may proceed with your question. As there is no response from the current partic",PGEL,2023-05-31,,https://nsearchives.nseindia.com/corporate/PGEL_31052023183945_TranscriptECQ4.pdf
cannot comment,hedging_evasion,custom,QnA,1,0.13206550449022716,"hat there is intense competition, but actually it is not affecting people like us. And we cannot comment much on that, you know, what people are doing, what brands are doing amongs",PGEL,2023-05-31,,https://nsearchives.nseindia.com/corporate/PGEL_31052023183945_TranscriptECQ4.pdf
capex,capital_actions,custom,QnA,34,4.490227152667723,"things are getting corrected. Dhananjai Bagrodia: Okay, sure. And any target in terms of capex, what we see for next year? Management: So, we have already stated the capex for next",PGEL,2023-05-31,,https://nsearchives.nseindia.com/corporate/PGEL_31052023183945_TranscriptECQ4.pdf
fund raise,capital_actions,custom,QnA,1,0.13206550449022716,"his particular category? Management: So, as of now, we are not pursuing the QIP route for fund raise. In fact, this year we have significantly altered our capex plan. So, if you wi",PGEL,2023-05-31,,https://nsearchives.nseindia.com/corporate/PGEL_31052023183945_TranscriptECQ4.pdf
qip,capital_actions,custom,QnA,2,0.26413100898045433,"u spoke about the capex plans for the coming year and beyond. And given the fact that the QIP we were planning did not sort of materialize eventually, what is the thinking on that ",PGEL,2023-05-31,,https://nsearchives.nseindia.com/corporate/PGEL_31052023183945_TranscriptECQ4.pdf
strong demand,positive_guidance,custom,remarks,1,0.6464124111182935,"ted revenue stood at INR4,211 million, representing a 15% year-on- year growth, driven by strong demand and operational execution. For the first half, consolidated revenue reached ",TEGA,2025-11-19,,https://nsearchives.nseindia.com/corporate/TEGA_19112025154619_Intimation_Earnings_Call_Transcript_sd.pdf
order book,positive_guidance,custom,remarks,3,1.9392372333548804,"ance, supported by strong fundamentals and strategic initiatives. As of September 30, our order book stands at approximately INR11,556 million with INR7,306 million scheduled for e",TEGA,2025-11-19,,https://nsearchives.nseindia.com/corporate/TEGA_19112025154619_Intimation_Earnings_Call_Transcript_sd.pdf
headwinds,negative_caution,custom,remarks,1,0.6464124111182935,"h pipeline. Looking forward, we maintain our balanced outlook. While global macroeconomic headwinds remain, our diversified portfolio, resilient balance sheet and customer-first ap",TEGA,2025-11-19,,https://nsearchives.nseindia.com/corporate/TEGA_19112025154619_Intimation_Earnings_Call_Transcript_sd.pdf
capex,capital_actions,custom,remarks,1,0.6464124111182935,"lternate manufacturing locations, which are less affected countries like Chile. The Chile capex project is on track with the project in full action, and we shall have the same read",TEGA,2025-11-19,,https://nsearchives.nseindia.com/corporate/TEGA_19112025154619_Intimation_Earnings_Call_Transcript_sd.pdf
order book,positive_guidance,custom,QnA,2,0.7914523149980214,eason why such a bumper growth has come? Mehul Mohanka: So it has been backed by a strong order book in the equipment business as well as the execution has been strong. So we've be,TEGA,2025-11-19,,https://nsearchives.nseindia.com/corporate/TEGA_19112025154619_Intimation_Earnings_Call_Transcript_sd.pdf
capex,capital_actions,custom,QnA,16,6.331618519984171,"ns for spillover to the subsequent period. Chirag: Okay. Okay, sir. And sir, on the Chile capex in your opening remarks, the voice was not very clear. So I mean you mentioned the u",TEGA,2025-11-19,,https://nsearchives.nseindia.com/corporate/TEGA_19112025154619_Intimation_Earnings_Call_Transcript_sd.pdf
qip,capital_actions,custom,QnA,1,0.3957261574990107,"we will be soon raising the balance. I'm not yet sure whether we'll do it in the form of QIP or pref allotment, but that's what we're going to be doing. And the debt part of it is ",TEGA,2025-11-19,,https://nsearchives.nseindia.com/corporate/TEGA_19112025154619_Intimation_Earnings_Call_Transcript_sd.pdf
order book,positive_guidance,custom,remarks,1,0.4286326618088298,"that increased 37% year-on-year led by volumes in Project segment and higher prices. The order book also increased by 6% year-on-year. Coming to profitability, in Q2 financial year",DCMSHRIRAM,2022-10-25,,https://nsearchives.nseindia.com/corporate/DCMSHRIRAM_25102022134100_ConcallTranscript30092022.pdf
cost pressure,negative_caution,custom,remarks,1,0.4286326618088298,"y, in Q2 financial year ’23, PBDIT stood at Rs. 302 crore down by 3% year-on-year despite cost pressures. The performance was primarily supported by chemicals, agri inputs and Fene",DCMSHRIRAM,2022-10-25,,https://nsearchives.nseindia.com/corporate/DCMSHRIRAM_25102022134100_ConcallTranscript30092022.pdf
capex,capital_actions,custom,remarks,1,0.4286326618088298,"miting the negative impacts of such a volatile operating environment. The Rs. 3,500 crore CapEx is on schedule and will lead to substantial enhancement in our reported results in t",DCMSHRIRAM,2022-10-25,,https://nsearchives.nseindia.com/corporate/DCMSHRIRAM_25102022134100_ConcallTranscript30092022.pdf
slowdown,negative_caution,custom,QnA,1,0.2927400468384075,"anything particular in the domestic market that is impacting the caustic dynamic, demand slowdown? Ajay Shriram: I would put it this way, one, there’s always a timeline because you",DCMSHRIRAM,2022-10-25,,https://nsearchives.nseindia.com/corporate/DCMSHRIRAM_25102022134100_ConcallTranscript30092022.pdf
difficult to say,hedging_evasion,custom,QnA,2,0.585480093676815,"we will break even or there will be negative contribution margin? Ajay Shriram: See, PVC difficult to say because as you’re saying internationally PVC pricing also have become soft",DCMSHRIRAM,2022-10-25,,https://nsearchives.nseindia.com/corporate/DCMSHRIRAM_25102022134100_ConcallTranscript30092022.pdf
headwinds,negative_caution,custom,remarks,1,1.6181229773462784,"customer programs supported revenue growth, outpacing the industry, despite ongoing cost headwinds. Elevated copper prices and increased manpower costs, including exceptional minim",MSUMI,2026-08-07,,https://nsearchives.nseindia.com/corporate/MSWIL_07082026172844_Q1Transcript.pdf
capex,capital_actions,custom,QnA,3,0.6891798759476223,"shown that in the past also -- in the past years also. Preet: Sure, sir. Sir, next on the capex front, we mentioned that we we might come up with some new new facilities. How are w",MSUMI,2026-08-07,,https://nsearchives.nseindia.com/corporate/MSWIL_07082026172844_Q1Transcript.pdf
come back to you,hedging_evasion,custom,remarks,1,0.7886435331230284,"nt there. So, our objective is first to acquire the land, our team is working and we will come back to you later on with the full details of the project. Now, I request the moderat",ELECTCAST,2024-05-20,2024-05-20,https://nsearchives.nseindia.com/corporate/ELECTCAST_20052024124458_Intimationundereg30transcript.pdf
capex,capital_actions,custom,remarks,4,3.1545741324921135,"7.7%. PAT grew by 120% to Rs. 736 crores with PAT margin of 10.4%. Now, I'm talking about CAPEX of the existing plant, company has spent Rs 390 crores out of Rs. 650 crores CAPEX p",ELECTCAST,2024-05-20,2024-05-20,https://nsearchives.nseindia.com/corporate/ELECTCAST_20052024124458_Intimationundereg30transcript.pdf
order book,positive_guidance,custom,QnA,3,0.4830140074062148,"r plant, total capacity by which year we are witnessing and secondly, what is the current order book in our hands? Uddhav Kejriwal: So, we will see 1 million tonnes capacity by FY ",ELECTCAST,2024-05-20,2024-05-20,https://nsearchives.nseindia.com/corporate/ELECTCAST_20052024124458_Intimationundereg30transcript.pdf
