trade_id,symbol,filing_date,filing_timestamp,signal_date,entry_date,entry_price,exit_date,exit_price,holding_days,SUE,SUE_bucket,sector,sector_group,size_group,filing_timing_group,priority_rank,slot,entry_reason,exit_reason,gross_return,transaction_cost,cost,net_return,portfolio_weight,portfolio_pnl
TR_00001,SHREECEM,09-Aug-2021,09-Aug-2021 18:24:00,10-Aug-2021,11-Aug-2021,26650.97,09-Nov-2021,28623.87,60,2.0312,5,Commercial & Industrial,Non-Financials,Large,Mid,1,1,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,7.40%,0.00585,0.00585,6.82%,0.033333,0.002273
TR_00002,POWERGRID,11-Aug-2021,11-Aug-2021 16:18:00,12-Aug-2021,13-Aug-2021,106.78,11-Nov-2021,107.46,60,10.013,5,Commercial & Industrial,Non-Financials,Large,Mid,1,2,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.63%,0.00585,0.00585,0.05%,0.033333,1.6e-05
TR_00003,HINDALCO,11-Aug-2021,11-Aug-2021 17:24:00,12-Aug-2021,13-Aug-2021,422.84,11-Nov-2021,438.83,60,3.0824,5,Commercial & Industrial,Non-Financials,Large,Mid,2,3,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,3.78%,0.00585,0.00585,3.20%,0.033333,0.001066
TR_00004,ASTERDM,12-Aug-2021,12-Aug-2021 13:15:00,12-Aug-2021,13-Aug-2021,125.3,11-Nov-2021,153.66,60,2.5115,5,Commercial & Industrial,Non-Financials,Small,Mid,3,4,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,22.63%,0.00585,0.00585,22.05%,0.033333,0.00735
TR_00005,SUPRAJIT,12-Aug-2021,12-Aug-2021 09:28:00,12-Aug-2021,13-Aug-2021,308.39,11-Nov-2021,351.4,60,1.8477,5,Commercial & Industrial,Non-Financials,Small,Mid,4,5,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,13.95%,0.00585,0.00585,13.36%,0.033333,0.004454
TR_00006,PTC,12-Aug-2021,12-Aug-2021 11:55:00,12-Aug-2021,13-Aug-2021,65.21,11-Nov-2021,84.22,60,1.6833,5,Commercial & Industrial,Non-Financials,Small,Mid,5,6,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,29.15%,0.00585,0.00585,28.56%,0.033333,0.009521
TR_00007,CUMMINSIND,12-Aug-2021,12-Aug-2021 16:38:00,13-Aug-2021,16-Aug-2021,914.81,12-Nov-2021,858.83,60,3.8741,5,Commercial & Industrial,Non-Financials,Large,Mid,1,7,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-6.12%,0.00585,0.00585,-6.70%,0.033333,-0.002235
TR_00008,TATASTEEL,12-Aug-2021,12-Aug-2021 18:59:00,13-Aug-2021,16-Aug-2021,127.97,12-Nov-2021,111.01,60,2.5487,5,Commercial & Industrial,Non-Financials,Large,Mid,2,8,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-13.26%,0.00585,0.00585,-13.84%,0.033333,-0.004614
TR_00009,GRASIM,13-Aug-2021,13-Aug-2021 15:05:00,13-Aug-2021,16-Aug-2021,1460.06,12-Nov-2021,1810.3,60,2.3036,5,Commercial & Industrial,Non-Financials,Large,Mid,3,9,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,23.99%,0.00585,0.00585,23.40%,0.033333,0.007801
TR_00010,KNRCON,12-Aug-2021,12-Aug-2021 16:45:00,13-Aug-2021,16-Aug-2021,285.11,12-Nov-2021,283.06,60,2.0313,5,Commercial & Industrial,Non-Financials,Mid,Mid,4,10,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.72%,0.00585,0.00585,-1.30%,0.033333,-0.000434
TR_00011,SUNDRMFAST,12-Aug-2021,12-Aug-2021 16:46:00,13-Aug-2021,16-Aug-2021,753.74,12-Nov-2021,793.16,60,1.9948,5,Commercial & Industrial,Non-Financials,Small,Mid,5,11,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,5.23%,0.00585,0.00585,4.64%,0.033333,0.001548
TR_00012,REDINGTON,13-Aug-2021,13-Aug-2021 13:07:00,13-Aug-2021,16-Aug-2021,150.96,12-Nov-2021,127.37,60,1.8469,5,Commercial & Industrial,Non-Financials,Mid,Mid,6,12,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-15.63%,0.00585,0.00585,-16.21%,0.033333,-0.005404
TR_00013,ALLCARGO,13-Aug-2021,13-Aug-2021 22:40:00,16-Aug-2021,17-Aug-2021,52.51,15-Nov-2021,85.62,60,3.889,5,Commercial & Industrial,Non-Financials,Mid,Late,1,13,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,63.07%,0.00585,0.00585,62.48%,0.033333,0.020826
TR_00014,FORTIS,13-Aug-2021,13-Aug-2021 18:22:00,16-Aug-2021,17-Aug-2021,255.57,15-Nov-2021,274.38,60,3.5836,5,Commercial & Industrial,Non-Financials,Mid,Late,2,14,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,7.36%,0.00585,0.00585,6.78%,0.033333,0.002259
TR_00015,TIINDIA,13-Aug-2021,13-Aug-2021 21:17:00,16-Aug-2021,17-Aug-2021,1251.63,15-Nov-2021,1709.57,60,2.5031,5,Commercial & Industrial,Non-Financials,Mid,Late,3,15,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,36.59%,0.00585,0.00585,36.00%,0.033333,0.012001
TR_00016,THYROCARE,13-Aug-2021,13-Aug-2021 18:36:00,16-Aug-2021,17-Aug-2021,393.99,15-Nov-2021,352.65,60,2.3739,5,Commercial & Industrial,Non-Financials,Mid,Late,4,16,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-10.49%,0.00585,0.00585,-11.08%,0.033333,-0.003692
TR_00017,VESUVIUS,13-Aug-2021,13-Aug-2021 17:47:00,16-Aug-2021,17-Aug-2021,117.84,15-Nov-2021,120.65,60,2.3625,5,Commercial & Industrial,Non-Financials,Small,Late,5,17,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,2.38%,0.00585,0.00585,1.80%,0.033333,0.000599
TR_00018,ECLERX,13-Aug-2021,13-Aug-2021 21:13:00,16-Aug-2021,17-Aug-2021,795.49,15-Nov-2021,820.26,60,2.2586,5,Commercial & Industrial,Non-Financials,Small,Late,6,18,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,3.11%,0.00585,0.00585,2.53%,0.033333,0.000843
TR_00019,IGL,14-Aug-2021,14-Aug-2021 13:03:00,16-Aug-2021,17-Aug-2021,241.07,15-Nov-2021,228.06,60,2.0178,5,Commercial & Industrial,Non-Financials,Large,Late,7,19,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-5.40%,0.00585,0.00585,-5.98%,0.033333,-0.001994
TR_00020,TCS,08-Oct-2021,08-Oct-2021 22:08:00,11-Oct-2021,12-Oct-2021,3219.4,07-Jan-2022,3353.95,60,2.048,5,Commercial & Industrial,Non-Financials,Large,Early,1,20,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,4.18%,0.00585,0.00585,3.59%,0.033333,0.001198
TR_00021,INFY,13-Oct-2021,13-Oct-2021 18:01:00,14-Oct-2021,18-Oct-2021,1515.49,12-Jan-2022,1649.7,60,2.3805,5,Commercial & Industrial,Non-Financials,Large,Early,1,21,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,8.86%,0.00585,0.00585,8.27%,0.033333,0.002757
TR_00022,IEX,21-Oct-2021,21-Oct-2021 19:53:00,22-Oct-2021,25-Oct-2021,238.37,19-Jan-2022,240.27,60,3.5036,5,Commercial & Industrial,Non-Financials,Large,Early,1,22,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.79%,0.00585,0.00585,0.21%,0.033333,7e-05
TR_00023,JSWSTEEL,22-Oct-2021,22-Oct-2021 14:58:00,22-Oct-2021,25-Oct-2021,636.78,19-Jan-2022,641.2,60,1.7256,5,Commercial & Industrial,Non-Financials,Large,Early,2,23,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.69%,0.00585,0.00585,0.11%,0.033333,3.6e-05
TR_00024,TATAELXSI,23-Oct-2021,23-Oct-2021 14:19:00,25-Oct-2021,26-Oct-2021,5531.98,20-Jan-2022,7056.67,60,5.7384,5,Commercial & Industrial,Non-Financials,Mid,Early,1,24,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,27.56%,0.00585,0.00585,26.98%,0.033333,0.008992
TR_00025,RAMCOCEM,25-Oct-2021,25-Oct-2021 16:01:00,26-Oct-2021,27-Oct-2021,1000.88,21-Jan-2022,927.45,60,4.3716,5,Commercial & Industrial,Non-Financials,Mid,Mid,1,25,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-7.34%,0.00585,0.00585,-7.92%,0.033333,-0.00264
TR_00026,SANOFI,27-Oct-2021,27-Oct-2021 11:56:00,27-Oct-2021,28-Oct-2021,6608.86,24-Jan-2022,5733.59,60,17.2224,5,Commercial & Industrial,Non-Financials,Small,Mid,1,26,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-13.24%,0.00585,0.00585,-13.83%,0.033333,-0.00461
TR_00027,BSOFT,27-Oct-2021,27-Oct-2021 09:22:00,27-Oct-2021,28-Oct-2021,381.21,24-Jan-2022,421.26,60,1.8836,5,Commercial & Industrial,Non-Financials,Mid,Mid,2,27,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,10.51%,0.00585,0.00585,9.92%,0.033333,0.003308
TR_00028,MAHSCOOTER,26-Oct-2021,26-Oct-2021 15:36:00,27-Oct-2021,28-Oct-2021,4090.59,24-Jan-2022,3258.43,60,1.8591,5,Commercial & Industrial,Non-Financials,Small,Mid,3,28,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-20.34%,0.00585,0.00585,-20.93%,0.033333,-0.006976
TR_00029,SKFINDIA,27-Oct-2021,27-Oct-2021 18:20:00,28-Oct-2021,29-Oct-2021,3042.97,25-Jan-2022,3595.51,60,2.3799,5,Commercial & Industrial,Non-Financials,Small,Mid,1,29,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,18.16%,0.00585,0.00585,17.57%,0.033333,0.005858
TR_00030,PERSISTENT,28-Oct-2021,28-Oct-2021 12:06:00,28-Oct-2021,29-Oct-2021,1924.87,25-Jan-2022,1995.19,60,2.2918,5,Commercial & Industrial,Non-Financials,Mid,Mid,2,30,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,3.65%,0.00585,0.00585,3.07%,0.033333,0.001023
TR_00031,EIDPARRY,09-Nov-2021,09-Nov-2021 17:26:00,10-Nov-2021,11-Nov-2021,483.42,07-Feb-2022,476.27,60,4.615,5,Commercial & Industrial,Non-Financials,Mid,Mid,1,1,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-1.48%,0.00585,0.00585,-2.06%,0.033333,-0.000688
TR_00032,REDINGTON,10-Nov-2021,10-Nov-2021 14:44:00,10-Nov-2021,11-Nov-2021,129.49,07-Feb-2022,138.9,60,1.7837,5,Commercial & Industrial,Non-Financials,Mid,Mid,2,2,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,7.26%,0.00585,0.00585,6.68%,0.033333,0.002225
