symbol,period_end,event_day,pat_current,pat_prior_yoy,yoy_diff_reconstructed,prior_yoy_count,sd_reconstructed,sue,sue_reconstructed,sue_diff,status
NATIONALUM,2023-12-31,2024-02-14,4706100000.0,2563200000.0,2142900000.0,8,4358368442.351531,0.4916748155518057,0.49167481555180576,5.551115123125783e-17,EXACT_MATCH
ASIANPAINT,2022-09-30,2022-10-21,8038300000.0,6051700000.0,1986600000.0,8,3132434475.8567123,0.6342032100948162,0.6342032100948162,0.0,EXACT_MATCH
ASTRAL,2021-09-30,2021-11-12,1433000000.0,879000000.0,554000000.0,7,516655459.01822555,1.0722813246815168,1.0722813246815168,0.0,EXACT_MATCH
POWERGRID,2022-09-30,2022-11-07,36501600000.0,33763800000.0,2737800000.0,8,16772331551.695488,0.1632331194718864,0.16323311947188643,2.7755575615628914e-17,EXACT_MATCH
ATUL,2024-09-30,2024-10-25,1395300000.0,922100000.0,473200000.0,8,279926617.61611736,1.6904430312123149,1.6904430312123149,0.0,EXACT_MATCH
BIRLACORPN,2026-03-31,2026-05-12,2947700000.0,2566000000.0,381700000.0,8,806926514.6219946,0.473029443305389,0.47302944330538904,5.551115123125783e-17,EXACT_MATCH
TIINDIA,2022-12-31,2023-02-06,3248700000.0,3900400000.0,-651700000.0,8,819767843.0071354,-0.7949811712659818,-0.7949811712659818,0.0,EXACT_MATCH
GODREJAGRO,2022-03-31,2022-05-10,1398100000.0,633800000.0,764300000.0,8,230394486.23114723,3.317353694103612,3.3173536941036117,4.440892098500626e-16,EXACT_MATCH
SHOPERSTOP,2022-06-30,2022-07-27,228300000.0,-1048900000.0,1277200000.0,8,861520647.786714,1.4824949387820074,1.4824949387820074,0.0,EXACT_MATCH
NESCO,2026-06-30,2026-07-27,999600000.0,961400000.0,38200000.0,8,147013837.8442534,0.259839485589575,0.25983948558957504,5.551115123125783e-17,EXACT_MATCH
JKPAPER,2024-03-31,2024-05-21,2786000000.0,2835200000.0,-49200000.0,8,1064226204.4723923,-0.04623077292519,-0.046230772925190004,6.938893903907228e-18,EXACT_MATCH
BRIGADE,2022-06-30,2022-08-03,646500000.0,-858900000.0,1505400000.0,8,585863667.710208,2.569539780276376,2.569539780276376,0.0,EXACT_MATCH
VSTIND,2025-12-31,2026-01-30,602300000.0,475600000.0,126700000.0,8,395252429.06093746,0.3205546397299084,0.32055463972990844,5.551115123125783e-17,EXACT_MATCH
ORIENTELEC,2024-12-31,2025-01-30,271700000.0,243300000.0,28400000.0,8,133185445.36526075,0.2132365133600978,0.2132365133600978,0.0,EXACT_MATCH
SPANDANA,2025-03-31,2025-06-02,-4343000000.0,1286600000.0,-5629600000.0,8,2543787003.068987,-2.213078372209659,-2.213078372209659,0.0,EXACT_MATCH
RECLTD,2024-09-30,2024-10-29,40377200000.0,37899000000.0,2478200000.0,8,3731576188.0154996,0.664116146940561,0.664116146940561,0.0,EXACT_MATCH
KSB,2026-06-30,2026-08-05,572000000.0,704000000.0,-132000000.0,8,85816144.83467382,-1.538172103329742,-1.538172103329742,0.0,EXACT_MATCH
RATNAMANI,2026-03-31,2026-05-18,1159072000.0,2031597000.0,-872525000.0,8,355225679.9488782,-2.456255415221017,-2.456255415221017,0.0,EXACT_MATCH
BALKRISIND,2025-06-30,2025-07-29,2883000000.0,4867500000.0,-1984500000.0,8,1239056109.3602085,-1.601622384174922,-1.601622384174922,0.0,EXACT_MATCH
CERA,2023-09-30,2023-11-02,573913000.0,511364000.0,62549000.0,8,75498147.57945105,0.8284839033192978,0.8284839033192978,0.0,EXACT_MATCH
BHARATFORG,2023-06-30,2023-08-10,2137300000.0,1603700000.0,533600000.0,8,2306030773.8483706,0.2313932693575953,0.23139326935759533,2.7755575615628914e-17,EXACT_MATCH
NAM-INDIA,2023-09-30,2023-10-30,2444100000.0,1140800000.0,1303300000.0,8,463877636.07442856,2.8095771355334045,2.8095771355334045,0.0,EXACT_MATCH
GODREJCP,2021-12-31,2022-02-09,5276000000.0,5020800000.0,255200000.0,8,2674114226.344064,0.095433470076145,0.09543347007614504,4.163336342344337e-17,EXACT_MATCH
JKLAKSHMI,2021-09-30,2021-11-01,872900000.0,929300000.0,-56400000.0,6,293515619.118756,-0.1921533176644362,-0.19215331766443625,5.551115123125783e-17,EXACT_MATCH
ASIANPAINT,2022-03-31,2022-05-11,8740500000.0,8698900000.0,41600000.0,8,3428496112.1042976,0.0121335998757972,0.012133599875797232,3.122502256758253e-17,EXACT_MATCH
VMART,2023-06-30,2023-08-10,-219454000.0,204521000.0,-423975000.0,8,287064262.0476853,-1.4769341086755408,-1.4769341086755408,0.0,EXACT_MATCH
GMMPFAUDLR,2025-09-30,2025-11-07,393800000.0,172800000.0,221000000.0,8,257885283.18947223,0.856970189483934,0.856970189483934,0.0,EXACT_MATCH
BALMLAWRIE,2021-09-30,2021-11-11,262067000.0,-52275000.0,314342000.0,6,209323773.86304373,1.5017023350900771,1.5017023350900771,0.0,EXACT_MATCH
ASTERDM,2023-12-31,2024-02-09,2092200000.0,1590300000.0,501900000.0,8,737343071.8028849,0.6806872122264597,0.6806872122264597,0.0,EXACT_MATCH
JINDALSTEL,2023-09-30,2023-11-01,13901000000.0,2192700000.0,11708300000.0,8,16351862283.800976,0.7160224197581987,0.7160224197581987,0.0,EXACT_MATCH
RELIANCE,2024-03-31,2024-04-23,212430000000.0,213270000000.0,-840000000.0,8,47434765712.65305,-0.0177085305973363,-0.017708530597336396,9.71445146547012e-17,EXACT_MATCH
ELGIEQUIP,2023-09-30,2023-11-09,912880000.0,719590000.0,193290000.0,8,283976574.8261641,0.6806547339981202,0.6806547339981202,0.0,EXACT_MATCH
REPCOHOME,2021-06-30,2021-08-16,322900000.0,695000000.0,-372100000.0,6,129947726.97768386,-2.863459089699209,-2.863459089699209,0.0,EXACT_MATCH
MAHABANK,2025-09-30,2025-10-15,16335000000.0,12936800000.0,3398200000.0,8,729122137.0348631,4.660673195055542,4.660673195055542,0.0,EXACT_MATCH
SUDARSCHEM,2022-03-31,2022-05-30,446620000.0,534210000.0,-87590000.0,8,168979502.17513704,-0.5183468933954976,-0.5183468933954976,0.0,EXACT_MATCH
ZYDUSWELL,2025-09-30,2025-11-07,-528000000.0,209000000.0,-737000000.0,8,195651254.9702367,-3.766906581366501,-3.7669065813665012,4.440892098500626e-16,EXACT_MATCH
EXIDEIND,2026-03-31,2026-05-05,2167300000.0,1879100000.0,288200000.0,8,394333857.60038406,0.7308527899525696,0.7308527899525696,0.0,EXACT_MATCH
SBIN,2025-06-30,2025-08-08,216266400000.0,196808000000.0,19458400000.0,8,44755361582.584236,0.434772490086906,0.43477249008690605,5.551115123125783e-17,EXACT_MATCH
MARICO,2024-12-31,2025-02-01,4060000000.0,3860000000.0,200000000.0,8,203676038.28489146,0.9819515426760728,0.9819515426760727,1.1102230246251565e-16,EXACT_MATCH
BLISSGVS,2024-03-31,2024-05-06,-49135000.0,34649000.0,-83784000.0,8,155098458.4198511,-0.5401987927771464,-0.5401987927771464,0.0,EXACT_MATCH
GODREJCP,2024-09-30,2024-10-25,4913100000.0,4327700000.0,585400000.0,8,8440271291.499292,0.0693579601629146,0.06935796016291464,4.163336342344337e-17,EXACT_MATCH
INDOSTAR,2025-09-30,2025-11-03,104900000.0,316800000.0,-211900000.0,8,1890669008.3898118,-0.1120767300144537,-0.11207673001445378,8.326672684688674e-17,EXACT_MATCH
NFL,2025-09-30,2025-11-12,-358100000.0,120700000.0,-478800000.0,8,2011455995.7546034,-0.2380365272770368,-0.23803652727703686,5.551115123125783e-17,EXACT_MATCH
BRITANNIA,2021-09-30,2021-11-09,3818400000.0,4952000000.0,-1133600000.0,7,1350520750.7088656,-0.8393799202307646,-0.8393799202307646,0.0,EXACT_MATCH
BOSCHLTD,2024-03-31,2024-05-27,5640000000.0,3981000000.0,1659000000.0,8,2285806884.731454,0.7257830970243605,0.7257830970243605,0.0,EXACT_MATCH
DCMSHRIRAM,2023-12-31,2024-02-01,2404800000.0,3420900000.0,-1016100000.0,8,1797218090.301548,-0.565373788235969,-0.565373788235969,0.0,EXACT_MATCH
BATAINDIA,2021-09-30,2021-11-04,371880000.0,-443160000.0,815040000.0,7,825998167.68216,0.9867334237400188,0.9867334237400189,1.1102230246251565e-16,EXACT_MATCH
CGCL,2025-12-31,2026-01-30,2554390000.0,969840000.0,1584550000.0,8,519643063.4287759,3.049304631422611,3.049304631422611,0.0,EXACT_MATCH
HAVELLS,2024-09-30,2024-10-18,2677700000.0,2490800000.0,186900000.0,8,668028665.8466514,0.2797784130462803,0.2797784130462803,0.0,EXACT_MATCH
BOSCHLTD,2025-12-31,2026-02-09,5326000000.0,5367000000.0,-41000000.0,8,3651229418.6831293,-0.0112290944497229,-0.011229094449722983,8.326672684688674e-17,EXACT_MATCH
KPITTECH,2026-03-31,2026-05-07,1629740000.0,2447250000.0,-817510000.0,8,535971715.6033383,-1.5252857122875163,-1.5252857122875163,0.0,EXACT_MATCH
GESHIP,2025-09-30,2025-11-10,5814100000.0,5755700000.0,58400000.0,8,2577462766.620361,0.0226579412732218,0.02265794127322183,3.122502256758253e-17,EXACT_MATCH
MIDHANI,2021-09-30,2021-11-10,339384000.0,325197000.0,14187000.0,7,309815848.12832963,0.0457917181632476,0.045791718163247626,2.7755575615628914e-17,EXACT_MATCH
ABB,2024-06-30,2024-08-09,4434900000.0,2956300000.0,1478600000.0,8,597903268.4246317,2.472975275575674,2.472975275575674,0.0,EXACT_MATCH
KPRMILL,2021-09-30,2021-10-28,2422200000.0,1125400000.0,1296800000.0,6,580133645.5220182,2.2353469929038647,2.2353469929038647,0.0,EXACT_MATCH
TRENT,2023-06-30,2023-08-10,1666700000.0,1149300000.0,517400000.0,8,898956399.4187033,0.5755562787411814,0.5755562787411814,0.0,EXACT_MATCH
NH,2023-06-30,2023-08-03,1840460000.0,1106150000.0,734310000.0,8,586432929.2097721,1.2521636549119004,1.2521636549119004,0.0,EXACT_MATCH
OMAXE,2022-06-30,2022-08-11,-502000000.0,-444300000.0,-57700000.0,8,813402899.2009872,-0.070936555619213,-0.07093655561921308,8.326672684688674e-17,EXACT_MATCH
HAL,2023-12-31,2024-02-13,12615100000.0,11551900000.0,1063200000.0,8,9592965409.080835,0.1108312137760405,0.11083121377604051,1.3877787807814457e-17,EXACT_MATCH
APOLLOTYRE,2022-06-30,2022-08-16,1906810000.0,1277880000.0,628930000.0,8,2241260494.4535594,0.2806144138784452,0.28061441387844527,5.551115123125783e-17,EXACT_MATCH
LUXIND,2024-03-31,2024-06-03,550900000.0,298400000.0,252500000.0,8,295538051.3934349,0.8543739082310572,0.8543739082310572,0.0,EXACT_MATCH
INDOCO,2024-03-31,2024-05-17,220300000.0,258100000.0,-37800000.0,8,115381979.74553911,-0.3276074832773999,-0.3276074832773999,0.0,EXACT_MATCH
BIRLACORPN,2025-09-30,2025-11-10,904800000.0,-251900000.0,1156700000.0,8,932002575.1037387,1.2410909914827766,1.2410909914827766,0.0,EXACT_MATCH
FINEORG,2023-06-30,2023-07-27,997678000.0,1597984000.0,-600306000.0,8,540798166.3318844,-1.1100370477802175,-1.1100370477802175,0.0,EXACT_MATCH
GRANULES,2023-12-31,2024-01-23,1256520000.0,1243287000.0,13233000.0,8,456385682.43560654,0.0289952128414262,0.028995212841426293,9.367506770274758e-17,EXACT_MATCH
PERSISTENT,2023-06-30,2023-07-21,2287680000.0,2009900000.0,277780000.0,8,84085758.77383417,3.3035320612036823,3.3035320612036823,0.0,EXACT_MATCH
VMART,2022-06-30,2022-08-08,204521000.0,-14747000.0,219268000.0,8,241638146.16768837,0.907422952367114,0.9074229523671139,1.1102230246251565e-16,EXACT_MATCH
RITES,2021-09-30,2021-11-12,1744900000.0,1323600000.0,421300000.0,7,470432431.76586246,0.8955590039117115,0.8955590039117115,0.0,EXACT_MATCH
KOTAKBANK,2025-03-31,2025-05-07,49089400000.0,52422500000.0,-3333100000.0,8,10368589166.426783,-0.3214612852819445,-0.32146128528194456,5.551115123125783e-17,EXACT_MATCH
NBCC,2025-09-30,2025-11-14,1566872000.0,1251349000.0,315523000.0,8,190041275.44482654,1.6602866890966734,1.6602866890966734,0.0,EXACT_MATCH
MINDACORP,2024-03-31,2024-05-23,707500000.0,1219400000.0,-511900000.0,8,294386475.5118443,-1.7388706431230203,-1.7388706431230205,2.220446049250313e-16,EXACT_MATCH
GODREJAGRO,2025-09-30,2025-11-07,843400000.0,957900000.0,-114500000.0,8,245858908.0724378,-0.4657142622884532,-0.4657142622884532,0.0,EXACT_MATCH
TCIEXP,2023-09-30,2023-10-18,355800000.0,377900000.0,-22100000.0,8,100304664.4692345,-0.2203287366239934,-0.22032873662399344,2.7755575615628914e-17,EXACT_MATCH
GRANULES,2025-12-31,2026-01-27,1502110000.0,1176030000.0,326080000.0,8,339084406.68382996,0.9616484673801128,0.9616484673801129,1.1102230246251565e-16,EXACT_MATCH
MIDHANI,2023-03-31,2023-05-29,662598000.0,810620000.0,-148022000.0,8,161691131.85456622,-0.9154614622472864,-0.9154614622472865,1.1102230246251565e-16,EXACT_MATCH
NAVINFLUOR,2021-09-30,2021-10-20,632227000.0,678112000.0,-45885000.0,7,1257162881.1804588,-0.0364988504567638,-0.03649885045676389,9.020562075079397e-17,EXACT_MATCH
GREAVESCOT,2023-03-31,2023-05-15,272200000.0,167100000.0,105100000.0,8,254060515.85062507,0.413680967497498,0.413680967497498,0.0,EXACT_MATCH
SBIN,2025-12-31,2026-02-09,218760400000.0,191753500000.0,27006900000.0,8,36998365046.193985,0.729948471135975,0.729948471135975,0.0,EXACT_MATCH
