date,NIFTY CHEMICALS
2005-08-16,1284.22
2005-08-17,1305.18
2005-08-18,1285.74
2005-08-19,1285.62
2005-08-22,1309.05
2005-08-23,1276.58
2005-08-24,1269.23
2005-08-25,1283.57
2005-08-26,1304.6
2005-08-29,1308.03
2005-08-30,1333.16
2005-08-31,1357.86
2005-09-01,1365.24
2005-09-02,1356.66
2005-09-05,1364.85
2005-09-06,1382.04
2005-09-08,1392.13
2005-09-09,1386.11
2005-09-12,1408.57
2005-09-13,1406.79
2005-09-14,1386.12
2005-09-15,1432.58
2005-09-16,1442.58
2005-09-19,1461.52
2005-09-20,1472.29
2005-09-21,1449.48
2005-09-22,1359.02
2005-09-23,1384.75
2005-09-26,1435.95
2005-09-27,1434.97
2005-09-28,1429.69
2005-09-29,1409.61
2005-09-30,1392.53
2005-10-03,1420.08
2005-10-04,1426.82
2005-10-05,1413.78
2005-10-06,1399.65
2005-10-07,1392.5
2005-10-10,1372.82
2005-10-11,1364.28
2005-10-13,1355.66
2005-10-14,1327.49
2005-10-17,1318.41
2005-10-18,1321.11
2005-10-19,1280.53
2005-10-20,1249.04
2005-10-21,1264.36
2005-10-24,1264.82
2005-10-25,1270.83
2005-10-26,1279.53
2005-10-27,1258.9
2005-10-28,1253.35
2005-10-31,1295.16
2005-11-01,1309.56
2005-11-02,1310.04
2005-11-07,1336.98
2005-11-08,1339.86
2005-11-09,1323.62
2005-11-10,1335.77
2005-11-11,1347.4
2005-11-14,1349.69
2005-11-16,1357.59
2005-11-17,1359.19
2005-11-18,1360.52
2005-11-21,1355.79
2005-11-22,1347.61
2005-11-23,1358.93
2005-11-24,1380.65
2005-11-25,1391.53
2005-11-26,1403.45
2005-11-28,1411.35
2005-11-29,1399.74
2005-11-30,1388.63
2005-12-01,1398.38
2005-12-02,1402.02
2005-12-05,1413.11
2005-12-06,1404.55
2005-12-07,1407.44
2005-12-08,1415.2
2005-12-09,1430.7
2005-12-12,1431.26
2005-12-13,1444.93
2005-12-14,1448.15
2005-12-15,1438.01
2005-12-16,1442.59
2005-12-19,1446.25
2005-12-20,1435.58
2005-12-21,1427.19
2005-12-22,1433.01
2005-12-23,1434.93
2005-12-26,1417.76
2005-12-27,1440.33
2005-12-28,1429.97
2005-12-29,1444.04
2005-12-30,1468.41
2006-01-02,1546.69
2006-01-03,1567.3
2006-01-04,1565.46
2006-01-05,1552.3
2006-01-06,1553.97
2006-01-09,1581.25
2006-01-10,1565.96
2006-01-12,1572.93
2006-01-13,1573.48
2006-01-16,1555.98
2006-01-17,1528.69
2006-01-18,1521.52
2006-01-19,1560.04
2006-01-20,1552.85
2006-01-23,1531.88
2006-01-24,1550.21
2006-01-25,1531.32
2006-01-27,1545.23
2006-01-30,1526.31
2006-01-31,1514.86
2006-02-01,1480.27
2006-02-02,1485.85
2006-02-03,1502.16
2006-02-06,1514.36
2006-02-07,1534.6
2006-02-08,1531.28
2006-02-10,1557.27
2006-02-13,1573.36
2006-02-14,1559.78
2006-02-15,1555.5
2006-02-16,1563.78
2006-02-17,1535.57
2006-02-20,1520.26
2006-02-21,1531.66
2006-02-22,1518.02
2006-02-23,1527.82
2006-02-24,1540.86
2006-02-27,1533.07
2006-02-28,1504.25
2006-03-01,1512.66
2006-03-02,1516.81
2006-03-03,1518.4
2006-03-06,1541.85
2006-03-07,1550.1
2006-03-08,1532.38
2006-03-09,1531.87
2006-03-10,1559.85
2006-03-13,1569.74
2006-03-14,1555.73
2006-03-16,1565.15
2006-03-17,1559.87
2006-03-20,1561.2
2006-03-21,1557.1
2006-03-22,1544.62
2006-03-23,1541.34
2006-03-24,1548.69
2006-03-27,1559.32
2006-03-28,1545.75
2006-03-29,1547.39
2006-03-30,1549.18
2006-03-31,1591.44
2006-04-03,1647.88
2006-04-04,1663.14
2006-04-05,1687.84
2006-04-07,1666.95
2006-04-10,1686.67
2006-04-12,1658.98
2006-04-13,1649.13
2006-04-17,1675.31
2006-04-18,1710.94
2006-04-19,1701.77
2006-04-20,1707.65
2006-04-21,1711.49
2006-04-24,1716.5
2006-04-25,1670.76
2006-04-26,1696.37
2006-04-27,1681.47
2006-04-28,1683.61
2006-04-29,1702.11
2006-05-02,1714.38
2006-05-03,1718.29
2006-05-04,1713.85
2006-05-05,1716.61
2006-05-08,1752.04
2006-05-09,1750.21
2006-05-10,1777.84
2006-05-11,1763.11
2006-05-12,1730.04
2006-05-15,1654.7
2006-05-16,1632.81
2006-05-17,1691.95
2006-05-18,1557.84
2006-05-19,1498.4
2006-05-22,1414.99
2006-05-23,1507.34
2006-05-24,1492.1
2006-05-25,1513.25
2006-05-26,1544.74
2006-05-29,1545.19
2006-05-30,1528.07
2006-05-31,1486.47
2006-06-01,1436.73
2006-06-02,1421.18
2006-06-05,1410.04
2006-06-06,1365.4
2006-06-07,1279.79
2006-06-08,1181.29
2006-06-09,1251.38
2006-06-12,1229.93
2006-06-13,1149.6
2006-06-14,1116.94
2006-06-15,1180.18
2006-06-16,1228.88
2006-06-19,1249.8
2006-06-20,1243.37
2006-06-21,1271.95
2006-06-22,1293.93
2006-06-23,1315.45
2006-06-25,1320.58
2006-06-26,1280.01
2006-06-27,1277.38
2006-06-28,1265.36
2006-06-29,1261.25
2006-06-30,1284.26
2006-07-03,1282.81
2006-07-04,1275.54
2006-07-05,1283.16
2006-07-06,1286.13
2006-07-07,1269.85
2006-07-10,1269.5
2006-07-11,1283.3
2006-07-12,1282.4
2006-07-13,1277.9
2006-07-14,1273.36
2006-07-17,1251.48
2006-07-18,1233.13
2006-07-19,1202.4
2006-07-20,1216.7
2006-07-21,1198.44
2006-07-24,1185.32
2006-07-25,1205.25
2006-07-26,1231.55
2006-07-27,1231.09
2006-07-28,1231.47
2006-07-31,1242.88
2006-08-01,1264.3
2006-08-02,1289.32
2006-08-03,1289.06
2006-08-04,1283.39
2006-08-07,1294.01
2006-08-08,1295.49
2006-08-09,1321.2
2006-08-10,1338.33
2006-08-11,1371.89
2006-08-14,1394.82
2006-08-16,1406.43
2006-08-17,1392.27
2006-08-18,1393.13
2006-08-21,1422.12
2006-08-22,1425.02
2006-08-23,1409.04
2006-08-24,1421.04
2006-08-25,1428.73
2006-08-28,1432.81
2006-08-29,1430.93
2006-08-30,1431.66
2006-08-31,1415.69
2006-09-01,1431.27
2006-09-04,1452.25
2006-09-05,1449.8
2006-09-06,1449.67
2006-09-07,1430.78
2006-09-08,1448.84
2006-09-11,1396.37
2006-09-12,1403.71
2006-09-13,1415.85
2006-09-14,1422.18
2006-09-15,1423.99
2006-09-18,1428.9
2006-09-19,1423.56
2006-09-20,1430.88
2006-09-21,1444.5
2006-09-22,1433.71
2006-09-25,1432.44
2006-09-26,1429.94
2006-09-27,1429.06
2006-09-28,1447.38
2006-09-29,1462.22
2006-10-03,1461.47
2006-10-04,1454.38
2006-10-05,1480.55
2006-10-06,1501.72
2006-10-09,1502.71
2006-10-10,1488.02
2006-10-11,1465.29
2006-10-12,1470.24
2006-10-13,1469.56
2006-10-16,1464.23
2006-10-17,1443.87
2006-10-18,1448.86
2006-10-19,1439.05
2006-10-20,1442.08
2006-10-21,1452.59
2006-10-23,1451.28
2006-10-26,1459.48
2006-10-27,1466.17
2006-10-30,1456.43
2006-10-31,1437.83
2006-11-01,1440.27
2006-11-02,1432.3
2006-11-03,1421.12
2006-11-06,1429.26
2006-11-07,1438.06
2006-11-08,1423.28
2006-11-09,1432.15
2006-11-10,1436.65
2006-11-13,1449.62
2006-11-14,1442.58
2006-11-15,1437.09
2006-11-16,1421.74
2006-11-17,1405.58
2006-11-20,1401.48
2006-11-21,1411.86
2006-11-22,1413.23
2006-11-23,1411.37
2006-11-24,1433.45
2006-11-27,1491.3
2006-11-28,1474.43
2006-11-29,1466.26
2006-11-30,1446.89
2006-12-01,1449.43
2006-12-04,1448.26
2006-12-05,1448.05
2006-12-06,1433.5
2006-12-07,1436.05
2006-12-08,1416.15
2006-12-11,1379.24
2006-12-12,1335.12
2006-12-13,1356.92
2006-12-14,1394.73
2006-12-15,1417.85
2006-12-18,1424.82
2006-12-19,1407.0
2006-12-20,1413.89
2006-12-21,1416.74
2006-12-22,1421.92
2006-12-26,1425.1
2006-12-27,1418.61
2006-12-28,1418.45
2006-12-29,1423.79
2007-01-02,1430.71
2007-01-03,1441.99
2007-01-04,1455.7
2007-01-05,1460.79
2007-01-08,1461.28
2007-01-09,1456.59
2007-01-10,1446.45
2007-01-11,1461.11
2007-01-12,1487.91
2007-01-15,1488.59
2007-01-16,1484.47
2007-01-17,1490.59
2007-01-18,1488.83
2007-01-19,1483.82
2007-01-22,1477.77
2007-01-23,1464.17
2007-01-24,1466.19
2007-01-25,1467.88
2007-01-29,1471.16
2007-01-31,1455.22
2007-02-01,1467.72
2007-02-02,1477.89
2007-02-05,1486.98
2007-02-06,1487.0
2007-02-07,1493.75
2007-02-08,1504.62
2007-02-09,1463.12
2007-02-12,1409.21
2007-02-13,1407.68
2007-02-14,1398.24
2007-02-15,1431.99
2007-02-19,1427.37
2007-02-20,1414.24
2007-02-21,1408.42
2007-02-22,1413.77
2007-02-23,1384.28
2007-02-26,1387.45
2007-02-27,1383.46
2007-02-28,1353.92
2007-03-01,1349.16
2007-03-02,1348.33
2007-03-05,1298.58
2007-03-06,1301.38
2007-03-07,1273.42
2007-03-08,1298.31
2007-03-09,1288.13
2007-03-12,1276.65
2007-03-13,1278.96
2007-03-14,1266.73
2007-03-15,1272.61
2007-03-16,1255.94
2007-03-19,1267.31
2007-03-20,1279.42
2007-03-21,1286.11
2007-03-22,1300.08
2007-03-23,1296.88
2007-03-26,1295.51
2007-03-28,1288.36
2007-03-29,1294.05
2007-03-30,1307.65
2007-04-02,1274.75
2007-04-03,1270.74
2007-04-04,1275.68
2007-04-05,1287.0
2007-04-09,1318.22
2007-04-10,1321.73
2007-04-11,1331.81
2007-04-12,1325.17
2007-04-13,1331.97
2007-04-16,1352.72
2007-04-17,1343.95
2007-04-18,1360.24
2007-04-19,1384.31
2007-04-20,1379.89
2007-04-23,1381.03
2007-04-24,1381.77
2007-04-25,1399.33
2007-04-26,1391.29
2007-04-27,1361.16
2007-04-30,1360.49
2007-05-03,1377.61
2007-05-04,1368.12
2007-05-07,1390.56
2007-05-08,1388.28
2007-05-09,1384.56
2007-05-10,1395.83
2007-05-11,1390.42
2007-05-14,1406.51
2007-05-15,1411.38
2007-05-16,1419.54
2007-05-17,1438.98
2007-05-18,1427.57
2007-05-21,1467.48
2007-05-22,1496.57
2007-05-23,1488.73
2007-05-24,1475.16
2007-05-25,1471.79
2007-05-28,1475.61
2007-05-29,1487.84
2007-05-30,1479.9
2007-05-31,1482.4
2007-06-01,1493.23
2007-06-04,1480.25
2007-06-05,1474.37
2007-06-06,1446.47
2007-06-07,1446.29
2007-06-08,1437.83
2007-06-11,1434.35
2007-06-12,1431.94
2007-06-13,1443.22
2007-06-14,1458.71
2007-06-15,1468.68
2007-06-18,1457.97
2007-06-19,1466.46
2007-06-20,1460.68
2007-06-21,1464.77
2007-06-22,1465.64
2007-06-25,1474.44
2007-06-26,1486.21
2007-06-27,1475.37
2007-06-28,1475.78
2007-06-29,1482.29
2007-07-02,1498.92
2007-07-03,1496.27
2007-07-04,1491.97
2007-07-05,1491.37
2007-07-06,1478.27
2007-07-09,1484.75
2007-07-10,1489.07
2007-07-11,1504.29
2007-07-12,1526.69
2007-07-13,1544.39
2007-07-16,1585.56
2007-07-17,1584.21
2007-07-18,1593.2
2007-07-19,1604.63
2007-07-20,1584.18
2007-07-23,1582.27
2007-07-24,1557.79
2007-07-25,1560.42
2007-07-26,1576.09
2007-07-27,1530.52
2007-07-30,1537.48
2007-07-31,1555.37
2007-08-01,1498.15
2007-08-02,1507.4
2007-08-03,1516.3
2007-08-06,1507.04
2007-08-07,1519.06
2007-08-08,1528.53
2007-08-09,1514.04
2007-08-10,1498.0
2007-08-13,1530.21
2007-08-14,1529.45
2007-08-16,1474.95
2007-08-17,1455.36
2007-08-20,1515.99
2007-08-21,1441.62
2007-08-22,1455.76
2007-08-23,1431.79
2007-08-24,1470.34
2007-08-27,1501.32
2007-08-28,1513.31
2007-08-29,1511.13
2007-08-30,1515.33
2007-08-31,1530.05
2007-09-03,1534.09
2007-09-04,1565.93
2007-09-05,1563.56
2007-09-06,1570.75
2007-09-07,1564.81
2007-09-10,1571.68
2007-09-11,1597.27
2007-09-12,1623.6
2007-09-13,1625.18
2007-09-14,1593.23
2007-09-17,1590.24
2007-09-18,1613.97
2007-09-19,1658.3
2007-09-20,1676.77
2007-09-21,1679.9
2007-09-24,1684.38
2007-09-25,1703.6
2007-09-26,1723.21
2007-09-27,1725.71
2007-09-28,1758.43
2007-10-01,1784.73
2007-10-03,1759.61
2007-10-04,1775.07
2007-10-05,1754.76
2007-10-08,1688.78
2007-10-09,1711.37
2007-10-10,1721.98
2007-10-11,1711.59
2007-10-12,1682.59
2007-10-15,1742.08
2007-10-16,1736.78
2007-10-17,1694.3
2007-10-18,1706.18
2007-10-19,1650.28
2007-10-22,1691.74
2007-10-23,1763.76
2007-10-24,1797.51
2007-10-25,1840.97
2007-10-26,1863.44
2007-10-29,1890.92
2007-10-30,1889.16
2007-10-31,1909.88
2007-11-01,1864.57
2007-11-02,1869.59
2007-11-05,1894.23
2007-11-06,1889.65
2007-11-07,1879.03
2007-11-08,1873.16
2007-11-09,1899.32
2007-11-12,1870.62
2007-11-13,1896.63
2007-11-14,1935.61
2007-11-15,1977.77
2007-11-16,2042.96
2007-11-19,2061.08
2007-11-20,2030.07
2007-11-21,1936.7
2007-11-22,1904.24
2007-11-23,1940.19
2007-11-26,1966.18
2007-11-27,1977.73
2007-11-28,1983.36
2007-11-29,1942.14
2007-11-30,1967.53
2007-12-03,2023.7
2007-12-04,2061.37
2007-12-05,2120.14
2007-12-06,2135.62
2007-12-07,2124.46
2007-12-10,2184.12
2007-12-11,2196.93
2007-12-12,2235.71
2007-12-13,2214.75
2007-12-14,2256.03
2007-12-17,2206.41
2007-12-18,2224.62
2007-12-19,2231.96
2007-12-20,2227.15
2007-12-24,2302.1
2007-12-26,2349.05
2007-12-27,2343.7
2007-12-28,2372.74
2007-12-31,2401.84
2008-01-01,2445.67
2008-01-02,2461.44
2008-01-03,2465.11
2008-01-04,2442.19
2008-01-07,2419.14
2008-01-08,2325.0
2008-01-09,2292.97
2008-01-10,2249.79
2008-01-11,2220.97
2008-01-14,2246.87
2008-01-15,2229.64
2008-01-16,2181.0
2008-01-17,2200.31
2008-01-18,2082.51
2008-01-21,1878.94
2008-01-22,1709.3
2008-01-23,1868.81
2008-01-24,1798.53
2008-01-25,1904.88
2008-01-28,1926.89
2008-01-29,1963.34
2008-01-30,1900.45
2008-01-31,1859.41
2008-02-01,1832.66
2008-02-04,1911.71
2008-02-05,1906.31
2008-02-06,1915.64
2008-02-07,1856.44
2008-02-08,1815.44
2008-02-11,1730.4
2008-02-12,1671.61
2008-02-13,1659.42
2008-02-14,1736.33
2008-02-15,1790.58
2008-02-18,1805.68
2008-02-19,1813.22
2008-02-20,1780.25
2008-02-21,1784.07
2008-02-22,1769.81
2008-02-25,1773.95
2008-02-26,1818.65
2008-02-27,1843.82
2008-02-28,1851.52
2008-02-29,1826.9
2008-03-03,1766.65
2008-03-04,1716.96
2008-03-05,1706.82
2008-03-07,1655.87
2008-03-10,1644.46
2008-03-11,1701.53
2008-03-12,1712.39
2008-03-13,1593.67
2008-03-14,1592.15
2008-03-17,1493.83
2008-03-18,1468.8
2008-03-19,1436.03
2008-03-24,1388.96
2008-03-25,1473.58
2008-03-26,1486.3
2008-03-27,1489.75
2008-03-28,1561.6
2008-03-31,1532.58
2008-04-01,1541.0
2008-04-02,1539.87
2008-04-03,1551.57
2008-04-04,1540.95
2008-04-07,1572.82
2008-04-08,1579.56
2008-04-09,1597.25
2008-04-10,1625.15
2008-04-11,1648.89
2008-04-15,1658.61
2008-04-16,1686.2
2008-04-17,1733.79
2008-04-21,1806.34
2008-04-22,1820.31
2008-04-23,1810.82
2008-04-24,1768.38
2008-04-25,1782.67
2008-04-28,1790.78
2008-04-29,1809.61
2008-04-30,1790.19
2008-05-02,1792.81
2008-05-05,1792.08
2008-05-06,1777.04
2008-05-07,1751.11
2008-05-08,1743.65
2008-05-09,1700.93
2008-05-12,1726.4
2008-05-13,1711.1
2008-05-14,1746.9
2008-05-15,1762.6
2008-05-16,1823.45
2008-05-20,1852.24
2008-05-21,1881.53
2008-05-22,1828.59
2008-05-23,1812.44
2008-05-26,1764.65
2008-05-27,1768.22
2008-05-28,1843.24
2008-05-29,1840.21
2008-05-30,1826.52
2008-06-02,1785.13
2008-06-03,1738.48
2008-06-04,1679.45
2008-06-05,1680.47
2008-06-06,1665.68
2008-06-09,1634.31
2008-06-10,1636.42
2008-06-11,1670.54
2008-06-12,1686.56
2008-06-13,1734.86
2008-06-16,1713.23
2008-06-17,1749.45
2008-06-18,1741.88
2008-06-19,1731.4
2008-06-20,1682.15
2008-06-23,1602.13
2008-06-24,1545.82
2008-06-25,1547.36
2008-06-26,1594.8
2008-06-27,1521.8
2008-06-30,1475.74
2008-07-01,1431.6
2008-07-02,1484.33
2008-07-03,1439.28
2008-07-04,1452.09
2008-07-07,1458.52
2008-07-08,1464.45
2008-07-09,1506.52
2008-07-10,1536.23
2008-07-11,1529.16
2008-07-14,1528.7
2008-07-15,1450.63
2008-07-16,1409.59
2008-07-17,1431.2
2008-07-18,1410.14
2008-07-21,1432.97
2008-07-22,1459.23
2008-07-23,1519.06
2008-07-24,1535.79
2008-07-25,1542.1
2008-07-28,1570.22
2008-07-29,1551.79
2008-07-30,1575.84
2008-07-31,1593.01
2008-08-01,1623.51
2008-08-04,1668.68
2008-08-05,1659.13
2008-08-06,1641.64
2008-08-07,1643.74
2008-08-08,1693.49
2008-08-11,1700.05
2008-08-12,1691.63
2008-08-13,1642.38
2008-08-14,1628.0
2008-08-18,1619.47
2008-08-19,1617.74
2008-08-20,1624.87
2008-08-21,1597.94
2008-08-22,1588.53
2008-08-25,1588.38
2008-08-26,1582.04
2008-08-27,1574.4
2008-08-28,1569.7
2008-08-29,1602.0
2008-09-01,1597.61
2008-09-02,1605.61
2008-09-04,1594.2
2008-09-05,1572.67
2008-09-08,1561.89
2008-09-09,1543.37
2008-09-10,1525.43
2008-09-11,1500.51
2008-09-12,1469.63
2008-09-15,1407.39
2008-09-16,1406.73
2008-09-17,1396.62
2008-09-18,1364.15
2008-09-19,1417.32
2008-09-22,1404.48
2008-09-23,1382.7
2008-09-24,1405.64
2008-09-25,1384.24
2008-09-26,1327.04
2008-09-29,1222.25
2008-09-30,1242.95
2008-10-01,1250.93
2008-10-03,1200.5
2008-10-06,1092.13
2008-10-07,1067.1
2008-10-08,1015.31
2008-10-10,942.09
2008-10-13,993.35
2008-10-14,1004.12
2008-10-15,950.87
2008-10-16,960.98
2008-10-17,947.85
2008-10-20,947.38
2008-10-21,961.96
2008-10-22,945.22
2008-10-23,878.75
2008-10-24,787.94
2008-10-27,783.62
2008-10-28,841.02
2008-10-29,837.65
2008-10-31,898.53
2008-11-03,934.97
2008-11-04,980.37
2008-11-05,958.79
2008-11-06,914.52
2008-11-07,915.43
2008-11-10,950.47
2008-11-11,929.47
2008-11-12,923.11
2008-11-14,900.53
2008-11-17,877.08
2008-11-18,862.87
2008-11-19,853.51
2008-11-20,823.9
2008-11-21,822.88
2008-11-24,826.13
2008-11-25,819.5
2008-11-26,817.64
2008-11-28,829.61
2008-12-01,827.33
2008-12-02,822.41
2008-12-03,824.75
2008-12-04,843.5
2008-12-05,835.75
2008-12-08,834.79
2008-12-10,851.35
2008-12-11,867.79
2008-12-12,877.47
2008-12-15,911.71
2008-12-16,923.55
2008-12-17,901.75
2008-12-18,918.52
2008-12-19,920.31
2008-12-22,926.88
2008-12-23,906.27
2008-12-24,903.53
2008-12-26,902.08
2008-12-29,916.2
2008-12-30,922.61
2008-12-31,937.04
2009-01-01,956.2
2009-01-02,977.18
2009-01-05,984.52
2009-01-06,987.84
2009-01-07,956.27
2009-01-09,930.18
2009-01-12,917.6
2009-01-13,897.97
2009-01-14,912.44
2009-01-15,898.53
2009-01-16,908.77
2009-01-19,907.23
2009-01-20,899.1
2009-01-21,885.52
2009-01-22,872.32
2009-01-23,843.29
2009-01-27,848.23
2009-01-28,861.91
2009-01-29,867.34
2009-01-30,863.49
2009-02-02,866.21
2009-02-03,857.63
2009-02-04,851.26
2009-02-05,843.41
2009-02-06,850.59
2009-02-09,862.81
2009-02-10,866.01
2009-02-11,870.45
2009-02-12,877.01
2009-02-13,878.19
2009-02-16,857.16
2009-02-17,836.82
2009-02-18,834.01
2009-02-19,823.19
2009-02-20,819.23
2009-02-24,803.23
2009-02-25,803.85
2009-02-26,797.36
2009-02-27,785.57
2009-03-02,760.17
2009-03-03,750.02
2009-03-04,747.89
2009-03-05,731.01
2009-03-06,726.41
2009-03-09,716.94
2009-03-12,719.53
2009-03-13,747.47
2009-03-16,756.55
2009-03-17,763.13
2009-03-18,776.35
2009-03-19,780.75
2009-03-20,785.05
2009-03-23,813.94
2009-03-24,822.3
2009-03-25,827.61
2009-03-26,831.49
2009-03-27,846.49
2009-03-30,836.52
2009-03-31,848.53
2009-04-01,868.28
2009-04-02,904.61
2009-04-06,930.66
2009-04-08,941.29
2009-04-09,934.6
2009-04-13,973.86
2009-04-15,1004.26
2009-04-16,968.84
2009-04-17,953.02
2009-04-20,962.63
2009-04-21,957.42
2009-04-22,947.36
2009-04-23,950.17
2009-04-24,966.5
2009-04-27,960.83
2009-04-28,944.88
2009-04-29,956.44
2009-05-04,1006.34
2009-05-05,1027.16
2009-05-06,1014.57
2009-05-07,1024.39
2009-05-08,1014.95
2009-05-11,1005.69
2009-05-12,1004.48
2009-05-13,1012.15
2009-05-14,1023.01
2009-05-15,1032.58
2009-05-18,1092.51
2009-05-19,1100.96
2009-05-20,1180.44
2009-05-21,1244.96
2009-05-22,1269.77
2009-05-25,1285.55
2009-05-26,1239.65
2009-05-27,1282.15
2009-05-28,1279.22
2009-05-29,1281.21
2009-06-01,1310.9
2009-06-02,1318.15
2009-06-03,1349.77
2009-06-04,1389.74
2009-06-05,1355.94
2009-06-08,1285.04
2009-06-09,1298.99
2009-06-10,1318.26
2009-06-11,1354.75
2009-06-12,1305.48
2009-06-15,1289.25
2009-06-16,1310.09
2009-06-17,1276.39
2009-06-18,1233.19
2009-06-19,1240.67
2009-06-22,1237.01
2009-06-23,1221.56
2009-06-24,1249.4
2009-06-25,1223.84
2009-06-26,1231.98
2009-06-29,1232.69
2009-06-30,1207.12
2009-07-01,1210.27
2009-07-02,1221.04
2009-07-03,1229.87
2009-07-06,1173.48
2009-07-07,1167.09
2009-07-08,1134.24
2009-07-09,1142.11
2009-07-10,1120.52
2009-07-13,1093.54
2009-07-14,1119.17
2009-07-15,1157.79
2009-07-16,1155.84
2009-07-17,1171.54
2009-07-20,1210.52
2009-07-21,1224.46
2009-07-22,1213.6
2009-07-23,1233.91
2009-07-24,1270.91
2009-07-27,1296.02
2009-07-28,1344.82
2009-07-29,1332.41
2009-07-30,1332.31
2009-07-31,1368.63
2009-08-03,1391.6
2009-08-04,1383.71
2009-08-05,1389.08
2009-08-06,1381.61
2009-08-07,1358.8
2009-08-10,1351.57
2009-08-11,1371.2
2009-08-12,1369.12
2009-08-13,1405.21
2009-08-14,1388.83
2009-08-17,1351.16
2009-08-18,1348.17
2009-08-19,1333.04
2009-08-20,1340.31
2009-08-21,1362.57
2009-08-24,1394.88
2009-08-25,1391.04
2009-08-26,1408.08
2009-08-27,1416.13
2009-08-28,1412.47
2009-08-31,1433.94
2009-09-01,1407.44
2009-09-02,1399.65
2009-09-03,1419.64
2009-09-04,1425.82
2009-09-07,1467.31
2009-09-08,1460.74
2009-09-09,1464.97
2009-09-10,1475.16
2009-09-11,1469.26
2009-09-14,1468.98
2009-09-15,1491.41
2009-09-16,1508.6
2009-09-17,1499.86
2009-09-18,1505.08
2009-09-22,1513.67
2009-09-23,1499.02
2009-09-24,1511.87
2009-09-25,1543.9
2009-09-29,1563.72
2009-09-30,1581.91
2009-10-01,1596.93
2009-10-05,1574.74
2009-10-06,1558.53
2009-10-07,1569.86
2009-10-08,1573.64
2009-10-09,1574.9
2009-10-12,1572.05
2009-10-14,1580.4
2009-10-15,1613.89
2009-10-16,1631.93
2009-10-17,1640.15
2009-10-20,1627.98
2009-10-21,1625.39
2009-10-22,1613.96
2009-10-23,1630.05
2009-10-26,1630.92
2009-10-27,1567.93
2009-10-28,1565.95
2009-10-29,1522.03
2009-10-30,1527.66
2009-11-03,1482.85
2009-11-04,1510.98
2009-11-05,1524.18
2009-11-06,1568.89
2009-11-09,1576.04
2009-11-10,1566.13
2009-11-11,1595.68
2009-11-12,1609.36
2009-11-13,1604.3
2009-11-16,1606.21
2009-11-17,1619.13
2009-11-18,1621.45
2009-11-19,1599.32
2009-11-20,1628.35
2009-11-23,1650.41
2009-11-24,1690.04
2009-11-25,1675.22
2009-11-26,1655.4
2009-11-27,1636.26
2009-11-30,1644.41
2009-12-01,1681.11
2009-12-02,1717.59
2009-12-03,1744.74
2009-12-04,1751.79
2009-12-07,1761.25
2009-12-08,1780.82
2009-12-09,1770.56
2009-12-10,1772.51
2009-12-11,1759.91
2009-12-14,1751.12
2009-12-15,1732.13
2009-12-16,1755.04
2009-12-17,1774.65
2009-12-18,1764.21
2009-12-21,1755.33
2009-12-22,1750.23
2009-12-23,1769.45
2009-12-24,1774.76
