date,NIFTY CEMENT
2005-08-12,1214.83
2005-08-16,1222.57
2005-08-17,1236.87
2005-08-18,1244.3
2005-08-19,1247.42
2005-08-22,1242.93
2005-08-23,1219.11
2005-08-24,1202.66
2005-08-25,1232.13
2005-08-26,1257.5
2005-08-29,1258.17
2005-08-30,1297.7
2005-08-31,1296.58
2005-09-01,1299.18
2005-09-02,1300.83
2005-09-05,1312.26
2005-09-06,1304.77
2005-09-08,1322.52
2005-09-09,1314.19
2005-09-12,1330.54
2005-09-13,1332.15
2005-09-14,1325.91
2005-09-15,1355.79
2005-09-16,1364.88
2005-09-19,1361.88
2005-09-20,1353.43
2005-09-21,1326.65
2005-09-22,1258.5
2005-09-23,1286.87
2005-09-26,1326.89
2005-09-27,1329.43
2005-09-28,1339.49
2005-09-29,1351.1
2005-09-30,1348.45
2005-10-03,1362.66
2005-10-04,1374.75
2005-10-05,1364.84
2005-10-06,1342.35
2005-10-07,1331.31
2005-10-10,1308.48
2005-10-11,1305.12
2005-10-13,1287.93
2005-10-14,1233.35
2005-10-17,1218.92
2005-10-18,1211.39
2005-10-19,1190.9
2005-10-20,1174.75
2005-10-21,1192.6
2005-10-24,1198.12
2005-10-25,1202.26
2005-10-26,1197.29
2005-10-27,1162.9
2005-10-28,1157.13
2005-10-31,1189.92
2005-11-01,1200.17
2005-11-02,1226.87
2005-11-07,1248.32
2005-11-08,1275.05
2005-11-09,1274.74
2005-11-10,1272.0
2005-11-11,1289.37
2005-11-14,1278.55
2005-11-16,1296.87
2005-11-17,1306.68
2005-11-18,1343.06
2005-11-21,1343.72
2005-11-22,1338.26
2005-11-23,1347.5
2005-11-24,1355.83
2005-11-25,1372.23
2005-11-26,1382.35
2005-11-28,1392.51
2005-11-29,1381.86
2005-11-30,1370.57
2005-12-01,1399.06
2005-12-02,1410.33
2005-12-05,1380.54
2005-12-06,1370.57
2005-12-07,1373.31
2005-12-08,1374.62
2005-12-09,1385.62
2005-12-12,1382.85
2005-12-13,1420.61
2005-12-14,1397.76
2005-12-15,1373.61
2005-12-16,1382.41
2005-12-19,1404.11
2005-12-20,1402.13
2005-12-21,1396.13
2005-12-22,1412.4
2005-12-23,1384.53
2005-12-26,1345.57
2005-12-27,1376.77
2005-12-28,1375.68
2005-12-29,1383.77
2005-12-30,1407.83
2006-01-02,1395.74
2006-01-03,1432.15
2006-01-04,1470.13
2006-01-05,1479.7
2006-01-06,1487.52
2006-01-09,1490.63
2006-01-10,1474.9
2006-01-12,1485.69
2006-01-13,1503.43
2006-01-16,1508.32
2006-01-17,1497.01
2006-01-18,1488.25
2006-01-19,1515.55
2006-01-20,1527.1
2006-01-23,1505.94
2006-01-24,1509.76
2006-01-25,1507.08
2006-01-27,1543.03
2006-01-30,1544.37
2006-01-31,1546.15
2006-02-01,1534.28
2006-02-02,1540.96
2006-02-03,1556.07
2006-02-06,1582.21
2006-02-07,1594.08
2006-02-08,1603.23
2006-02-10,1610.54
2006-02-13,1626.12
2006-02-14,1609.91
2006-02-15,1597.46
2006-02-16,1621.86
2006-02-17,1589.23
2006-02-20,1590.29
2006-02-21,1604.84
2006-02-22,1611.16
2006-02-23,1598.57
2006-02-24,1619.24
2006-02-27,1640.3
2006-02-28,1679.51
2006-03-01,1788.04
2006-03-02,1776.77
2006-03-03,1795.84
2006-03-06,1796.74
2006-03-07,1854.35
2006-03-08,1811.28
2006-03-09,1888.55
2006-03-10,1911.46
2006-03-13,1890.92
2006-03-14,1883.91
2006-03-16,1903.63
2006-03-17,1904.61
2006-03-20,1916.99
2006-03-21,1905.97
2006-03-22,1869.72
2006-03-23,1884.54
2006-03-24,1895.87
2006-03-27,1929.75
2006-03-28,1919.89
2006-03-29,1934.99
2006-03-30,1966.11
2006-03-31,1991.22
2006-04-03,2060.28
2006-04-04,2051.33
2006-04-05,2147.76
2006-04-07,2182.17
2006-04-10,2265.4
2006-04-12,2202.28
2006-04-13,2142.74
2006-04-17,2268.89
2006-04-18,2292.14
2006-04-19,2333.3
2006-04-20,2346.73
2006-04-21,2375.61
2006-04-24,2394.15
2006-04-25,2322.73
2006-04-26,2413.17
2006-04-27,2394.28
2006-04-28,2388.18
2006-04-29,2548.75
2006-05-02,2527.04
2006-05-03,2488.02
2006-05-04,2413.91
2006-05-05,2393.18
2006-05-08,2426.09
2006-05-09,2462.27
2006-05-10,2399.03
2006-05-11,2358.82
2006-05-12,2242.34
2006-05-15,2126.05
2006-05-16,2217.52
2006-05-17,2258.63
2006-05-18,2059.33
2006-05-19,1965.08
2006-05-22,1837.26
2006-05-23,1926.85
2006-05-24,1906.35
2006-05-25,1923.87
2006-05-26,1965.44
2006-05-29,1966.03
2006-05-30,1912.97
2006-05-31,1842.06
2006-06-01,1773.42
2006-06-02,1832.86
2006-06-05,1774.06
2006-06-06,1723.06
2006-06-07,1642.7
2006-06-08,1567.54
2006-06-09,1696.54
2006-06-12,1635.98
2006-06-13,1553.48
2006-06-14,1510.39
2006-06-15,1656.41
2006-06-16,1692.73
2006-06-19,1752.36
2006-06-20,1747.15
2006-06-21,1791.66
2006-06-22,1831.72
2006-06-23,1864.67
2006-06-25,1857.79
2006-06-26,1776.77
2006-06-27,1774.28
2006-06-28,1752.2
2006-06-29,1766.47
2006-06-30,1871.28
2006-07-03,1868.62
2006-07-04,1871.58
2006-07-05,1927.28
2006-07-06,1910.23
2006-07-07,1885.75
2006-07-10,1942.29
2006-07-11,1971.48
2006-07-12,2014.03
2006-07-13,2005.85
2006-07-14,1980.73
2006-07-17,1929.3
2006-07-18,1909.0
2006-07-19,1846.39
2006-07-20,1895.99
2006-07-21,1818.54
2006-07-24,1810.68
2006-07-25,1886.02
2006-07-26,1938.0
2006-07-27,1970.56
2006-07-28,2004.16
2006-07-31,1989.01
2006-08-01,1980.01
2006-08-02,2003.55
2006-08-03,2014.42
2006-08-04,2002.3
2006-08-07,1990.22
2006-08-08,2009.24
2006-08-09,2031.22
2006-08-10,2070.21
2006-08-11,2089.79
2006-08-14,2125.03
2006-08-16,2144.92
2006-08-17,2135.71
2006-08-18,2148.96
2006-08-21,2156.93
2006-08-22,2157.15
2006-08-23,2122.97
2006-08-24,2152.05
2006-08-25,2169.6
2006-08-28,2185.94
2006-08-29,2180.4
2006-08-30,2192.98
2006-08-31,2171.25
2006-09-01,2183.32
2006-09-04,2218.44
2006-09-05,2259.04
2006-09-06,2276.55
2006-09-07,2274.68
2006-09-08,2284.95
2006-09-11,2207.33
2006-09-12,2226.02
2006-09-13,2254.55
2006-09-14,2312.09
2006-09-15,2362.94
2006-09-18,2366.03
2006-09-19,2312.59
2006-09-20,2317.3
2006-09-21,2364.87
2006-09-22,2395.12
2006-09-25,2373.42
2006-09-26,2386.1
2006-09-27,2404.57
2006-09-28,2394.14
2006-09-29,2421.69
2006-10-03,2423.92
2006-10-04,2395.81
2006-10-05,2443.37
2006-10-06,2453.07
2006-10-09,2464.54
2006-10-10,2467.76
2006-10-11,2432.67
2006-10-12,2463.91
2006-10-13,2493.23
2006-10-16,2475.44
2006-10-17,2453.98
2006-10-18,2436.1
2006-10-19,2426.87
2006-10-20,2421.84
2006-10-21,2442.17
2006-10-23,2419.67
2006-10-26,2423.84
2006-10-27,2443.96
2006-10-30,2502.28
2006-10-31,2520.76
2006-11-01,2545.43
2006-11-02,2566.14
2006-11-03,2602.29
2006-11-06,2635.38
2006-11-07,2648.61
2006-11-08,2641.35
2006-11-09,2628.47
2006-11-10,2653.25
2006-11-13,2707.12
2006-11-14,2681.76
2006-11-15,2703.68
2006-11-16,2725.75
2006-11-17,2679.87
2006-11-20,2625.4
2006-11-21,2700.59
2006-11-22,2721.44
2006-11-23,2708.25
2006-11-24,2717.16
2006-11-27,2745.51
2006-11-28,2748.08
2006-11-29,2808.74
2006-11-30,2791.2
2006-12-01,2812.67
2006-12-04,2850.03
2006-12-05,2829.19
2006-12-06,2819.11
2006-12-07,2833.65
2006-12-08,2814.72
2006-12-11,2732.08
2006-12-12,2577.68
2006-12-13,2646.37
2006-12-14,2751.91
2006-12-15,2805.37
2006-12-18,2814.42
2006-12-19,2744.5
2006-12-20,2718.92
2006-12-21,2716.59
2006-12-22,2762.02
2006-12-26,2834.39
2006-12-27,2855.51
2006-12-28,2884.66
2006-12-29,2902.17
2007-01-02,2944.75
2007-01-03,2934.97
2007-01-04,2903.92
2007-01-05,2884.26
2007-01-08,2837.69
2007-01-09,2840.97
2007-01-10,2805.8
2007-01-11,2860.48
2007-01-12,2904.28
2007-01-15,2943.36
2007-01-16,3011.58
2007-01-17,3007.48
2007-01-18,2998.31
2007-01-19,3018.43
2007-01-22,3006.99
2007-01-23,2844.35
2007-01-24,2824.19
2007-01-25,2839.86
2007-01-29,2806.36
2007-01-31,2774.89
2007-02-01,2823.94
2007-02-02,2857.53
2007-02-05,2864.99
2007-02-06,2869.93
2007-02-07,2875.71
2007-02-08,2858.11
2007-02-09,2777.77
2007-02-12,2675.73
2007-02-13,2650.74
2007-02-14,2617.44
2007-02-15,2670.22
2007-02-19,2650.17
2007-02-20,2598.94
2007-02-21,2597.18
2007-02-22,2521.32
2007-02-23,2393.7
2007-02-26,2447.43
2007-02-27,2476.32
2007-02-28,2315.79
2007-03-01,2255.55
2007-03-02,2240.24
2007-03-05,2158.25
2007-03-06,2199.41
2007-03-07,2091.11
2007-03-08,2228.21
2007-03-09,2122.88
2007-03-12,2065.83
2007-03-13,2101.39
2007-03-14,2082.16
2007-03-15,2076.69
2007-03-16,2051.35
2007-03-19,2091.17
2007-03-20,2144.54
2007-03-21,2113.97
2007-03-22,2119.87
2007-03-23,2119.4
2007-03-26,2090.95
2007-03-28,2055.04
2007-03-29,2056.62
2007-03-30,2088.39
2007-04-02,2019.82
2007-04-03,2025.03
2007-04-04,1989.87
2007-04-05,2014.67
2007-04-09,2086.74
2007-04-10,2120.5
2007-04-11,2095.01
2007-04-12,2091.92
2007-04-13,2138.87
2007-04-16,2223.55
2007-04-17,2253.7
2007-04-18,2245.74
2007-04-19,2243.78
2007-04-20,2276.74
2007-04-23,2271.74
2007-04-24,2314.77
2007-04-25,2351.7
2007-04-26,2354.19
2007-04-27,2312.1
2007-04-30,2336.65
2007-05-03,2380.61
2007-05-04,2384.52
2007-05-07,2356.21
2007-05-08,2353.61
2007-05-09,2351.28
2007-05-10,2335.56
2007-05-11,2332.3
2007-05-14,2365.23
2007-05-15,2368.48
2007-05-16,2389.68
2007-05-17,2444.71
2007-05-18,2433.47
2007-05-21,2423.56
2007-05-22,2431.31
2007-05-23,2391.53
2007-05-24,2382.67
2007-05-25,2379.06
2007-05-28,2407.65
2007-05-29,2431.9
2007-05-30,2406.05
2007-05-31,2410.35
2007-06-01,2422.51
2007-06-04,2387.07
2007-06-05,2387.13
2007-06-06,2345.03
2007-06-07,2309.83
2007-06-08,2275.97
2007-06-11,2254.82
2007-06-12,2289.96
2007-06-13,2274.46
2007-06-14,2334.42
2007-06-15,2333.71
2007-06-18,2331.28
2007-06-19,2380.99
2007-06-20,2431.55
2007-06-21,2457.7
2007-06-22,2454.85
2007-06-25,2458.18
2007-06-26,2456.55
2007-06-27,2443.21
2007-06-28,2584.59
2007-06-29,2626.49
2007-07-02,2626.66
2007-07-03,2662.94
2007-07-04,2759.78
2007-07-05,2751.1
2007-07-06,2798.16
2007-07-09,2809.26
2007-07-10,2764.09
2007-07-11,2819.73
2007-07-12,2842.06
2007-07-13,2895.72
2007-07-16,2938.66
2007-07-17,2921.41
2007-07-18,2936.55
2007-07-19,2969.42
2007-07-20,2948.02
2007-07-23,2995.02
2007-07-24,2961.21
2007-07-25,2841.85
2007-07-26,2806.11
2007-07-27,2702.11
2007-07-30,2776.76
2007-07-31,2854.7
2007-08-01,2727.68
2007-08-02,2765.94
2007-08-03,2808.06
2007-08-06,2775.17
2007-08-07,2805.91
2007-08-08,2857.2
2007-08-09,2782.55
2007-08-10,2760.44
2007-08-13,2824.81
2007-08-14,2801.09
2007-08-16,2712.96
2007-08-17,2691.75
2007-08-20,2725.71
2007-08-21,2649.71
2007-08-22,2682.71
2007-08-23,2722.97
2007-08-24,2798.56
2007-08-27,2880.78
2007-08-28,2891.62
2007-08-29,2918.36
2007-08-30,2923.8
2007-08-31,2935.27
2007-09-03,2961.84
2007-09-04,3042.05
2007-09-05,3030.44
2007-09-06,3107.1
2007-09-07,3085.8
2007-09-10,3121.95
2007-09-11,3111.81
2007-09-12,3113.8
2007-09-13,3165.65
2007-09-14,3134.67
2007-09-17,3145.66
2007-09-18,3172.12
2007-09-19,3229.7
2007-09-20,3229.68
2007-09-21,3267.05
2007-09-24,3305.03
2007-09-25,3300.07
2007-09-26,3333.7
2007-09-27,3335.56
2007-09-28,3393.78
2007-10-01,3473.72
2007-10-03,3500.96
2007-10-04,3478.66
2007-10-05,3413.37
2007-10-08,3317.17
2007-10-09,3438.71
2007-10-10,3573.32
2007-10-11,3629.15
2007-10-12,3594.45
2007-10-15,3690.48
2007-10-16,3693.94
2007-10-17,3570.97
2007-10-18,3343.16
2007-10-19,3221.6
2007-10-22,3269.85
2007-10-23,3421.81
2007-10-24,3434.42
2007-10-25,3418.54
2007-10-26,3537.79
2007-10-29,3580.03
2007-10-30,3564.35
2007-10-31,3579.54
2007-11-01,3489.61
2007-11-02,3512.37
2007-11-05,3497.73
2007-11-06,3533.14
2007-11-07,3540.74
2007-11-08,3516.03
2007-11-09,3486.35
2007-11-12,3459.63
2007-11-13,3523.93
2007-11-14,3594.77
2007-11-15,3583.0
2007-11-16,3640.37
2007-11-19,3818.01
2007-11-20,3750.48
2007-11-21,3610.75
2007-11-22,3649.98
2007-11-23,3670.52
2007-11-26,3754.01
2007-11-27,3759.79
2007-11-28,3768.78
2007-11-29,3764.8
2007-11-30,3819.4
2007-12-03,3887.03
2007-12-04,3925.26
2007-12-05,3937.64
2007-12-06,3872.15
2007-12-07,3881.97
2007-12-10,3861.36
2007-12-11,3891.22
2007-12-12,3945.24
2007-12-13,3944.5
2007-12-14,4088.0
2007-12-17,3895.23
2007-12-18,3826.94
2007-12-19,3839.0
2007-12-20,3825.55
2007-12-24,3889.68
2007-12-26,3942.75
2007-12-27,3927.61
2007-12-28,3960.16
2007-12-31,3995.0
2008-01-01,4019.34
2008-01-02,4052.59
2008-01-03,4022.6
2008-01-04,4022.59
2008-01-07,3986.63
2008-01-08,3897.35
2008-01-09,3890.35
2008-01-10,3755.78
2008-01-11,3738.45
2008-01-14,3760.53
2008-01-15,3713.08
2008-01-16,3616.9
2008-01-17,3611.79
2008-01-18,3561.22
2008-01-21,3114.81
2008-01-22,2921.81
2008-01-23,3175.24
2008-01-24,3080.79
2008-01-25,3245.48
2008-01-28,3235.46
2008-01-29,3237.78
2008-01-30,3199.27
2008-01-31,3175.11
2008-02-01,3155.99
2008-02-04,3231.74
2008-02-05,3257.17
2008-02-06,3178.43
2008-02-07,3119.64
2008-02-08,3063.63
2008-02-11,2908.3
2008-02-12,2876.24
2008-02-13,2855.82
2008-02-14,2964.42
2008-02-15,3008.57
2008-02-18,2993.03
2008-02-19,3003.11
2008-02-20,2933.59
2008-02-21,2976.77
2008-02-22,2934.14
2008-02-25,3034.61
2008-02-26,3107.78
2008-02-27,3065.86
2008-02-28,3045.64
2008-02-29,3005.93
2008-03-03,2908.7
2008-03-04,2858.46
2008-03-05,2874.19
2008-03-07,2768.25
2008-03-10,2826.06
2008-03-11,2961.96
2008-03-12,2943.83
2008-03-13,2787.03
2008-03-14,2847.03
2008-03-17,2674.3
2008-03-18,2648.76
2008-03-19,2658.75
2008-03-24,2676.29
2008-03-25,2810.53
2008-03-26,2793.01
2008-03-27,2798.42
2008-03-28,2859.52
2008-03-31,2792.58
2008-04-01,2778.63
2008-04-02,2822.57
2008-04-03,2808.9
2008-04-04,2759.57
2008-04-07,2800.84
2008-04-08,2754.18
2008-04-09,2772.94
2008-04-10,2760.07
2008-04-11,2745.29
2008-04-15,2738.93
2008-04-16,2729.21
2008-04-17,2749.56
2008-04-21,2807.45
2008-04-22,2865.58
2008-04-23,2876.98
2008-04-24,2829.1
2008-04-25,2811.07
2008-04-28,2795.92
2008-04-29,2815.72
2008-04-30,2799.15
2008-05-02,2817.15
2008-05-05,2810.84
2008-05-06,2752.75
2008-05-07,2748.25
2008-05-08,2728.42
2008-05-09,2633.43
2008-05-12,2594.79
2008-05-13,2587.72
2008-05-14,2584.12
2008-05-15,2637.62
2008-05-16,2657.18
2008-05-20,2625.9
2008-05-21,2632.41
2008-05-22,2588.58
2008-05-23,2529.15
2008-05-26,2429.11
2008-05-27,2417.07
2008-05-28,2474.63
2008-05-29,2414.97
2008-05-30,2391.34
2008-06-02,2336.98
2008-06-03,2342.05
2008-06-04,2266.48
2008-06-05,2288.14
2008-06-06,2274.22
2008-06-09,2185.06
2008-06-10,2166.65
2008-06-11,2235.15
2008-06-12,2233.71
2008-06-13,2204.84
2008-06-16,2204.65
2008-06-17,2248.35
2008-06-18,2273.78
2008-06-19,2245.02
2008-06-20,2155.13
2008-06-23,2090.1
2008-06-24,2049.96
2008-06-25,2068.56
2008-06-26,2096.7
2008-06-27,2003.14
2008-06-30,1912.36
2008-07-01,1808.36
2008-07-02,1854.58
2008-07-03,1794.99
2008-07-04,1851.51
2008-07-07,1889.2
2008-07-08,1890.6
2008-07-09,1971.04
2008-07-10,1969.47
2008-07-11,1923.18
2008-07-14,1912.55
2008-07-15,1856.42
2008-07-16,1824.81
2008-07-17,1870.93
2008-07-18,1916.12
2008-07-21,1925.26
2008-07-22,1933.44
2008-07-23,2036.34
2008-07-24,1993.82
2008-07-25,1987.32
2008-07-28,2002.71
2008-07-29,1937.21
2008-07-30,1993.42
2008-07-31,1976.28
2008-08-01,2014.53
2008-08-04,2047.57
2008-08-05,2157.0
2008-08-06,2190.72
2008-08-07,2221.77
2008-08-08,2183.63
2008-08-11,2229.16
2008-08-12,2191.62
2008-08-13,2184.54
2008-08-14,2115.6
2008-08-18,2051.38
2008-08-19,2033.18
2008-08-20,2055.5
2008-08-21,1992.15
2008-08-22,2000.38
2008-08-25,1995.5
2008-08-26,1990.91
2008-08-27,1978.5
2008-08-28,1951.24
2008-08-29,1993.12
2008-09-01,1986.41
2008-09-02,2058.78
2008-09-04,2074.63
2008-09-05,2022.22
2008-09-08,2065.2
2008-09-09,2061.82
2008-09-10,2062.81
2008-09-11,2027.63
2008-09-12,1986.27
2008-09-15,1922.08
2008-09-16,1891.12
2008-09-17,1875.68
2008-09-18,1849.36
2008-09-19,1906.93
2008-09-22,1905.73
2008-09-23,1872.53
2008-09-24,1881.9
2008-09-25,1864.46
2008-09-26,1809.92
2008-09-29,1720.7
2008-09-30,1734.05
2008-10-01,1769.87
2008-10-03,1738.8
2008-10-06,1601.3
2008-10-07,1597.72
2008-10-08,1547.39
2008-10-10,1414.74
2008-10-13,1454.06
2008-10-14,1452.54
2008-10-15,1396.14
2008-10-16,1347.89
2008-10-17,1260.62
2008-10-20,1214.77
2008-10-21,1264.86
2008-10-22,1188.55
2008-10-23,1162.85
2008-10-24,1059.39
2008-10-27,1031.17
2008-10-28,1112.53
2008-10-29,1137.36
2008-10-31,1203.73
2008-11-03,1271.65
2008-11-04,1298.47
2008-11-05,1215.31
2008-11-06,1195.74
2008-11-07,1224.34
2008-11-10,1291.93
2008-11-11,1212.81
2008-11-12,1180.41
2008-11-14,1131.97
2008-11-17,1145.59
2008-11-18,1102.11
2008-11-19,1079.82
2008-11-20,1062.27
2008-11-21,1064.06
2008-11-24,1047.89
2008-11-25,1010.83
2008-11-26,1039.47
2008-11-28,1018.89
2008-12-01,1019.08
2008-12-02,1026.05
2008-12-03,1035.65
2008-12-04,1079.51
2008-12-05,1075.53
2008-12-08,1106.27
2008-12-10,1218.47
2008-12-11,1247.25
2008-12-12,1256.13
2008-12-15,1314.83
2008-12-16,1373.86
2008-12-17,1299.51
2008-12-18,1357.6
2008-12-19,1350.33
2008-12-22,1340.63
2008-12-23,1308.25
2008-12-24,1277.54
2008-12-26,1248.86
2008-12-29,1292.11
2008-12-30,1328.04
2008-12-31,1317.04
2009-01-01,1351.84
2009-01-02,1345.97
2009-01-05,1380.71
2009-01-06,1493.66
2009-01-07,1363.24
2009-01-09,1342.71
2009-01-12,1320.19
2009-01-13,1304.23
2009-01-14,1320.15
2009-01-15,1283.85
2009-01-16,1292.99
2009-01-19,1314.98
2009-01-20,1285.56
2009-01-21,1262.62
2009-01-22,1268.59
2009-01-23,1230.22
2009-01-27,1255.81
2009-01-28,1291.98
2009-01-29,1288.6
2009-01-30,1312.75
2009-02-02,1272.39
2009-02-03,1317.2
2009-02-04,1333.03
2009-02-05,1330.85
2009-02-06,1363.63
2009-02-09,1394.82
2009-02-10,1404.51
2009-02-11,1405.73
2009-02-12,1387.47
2009-02-13,1414.74
2009-02-16,1371.75
2009-02-17,1335.69
2009-02-18,1352.13
2009-02-19,1349.91
2009-02-20,1334.66
2009-02-24,1345.27
2009-02-25,1363.72
2009-02-26,1385.49
2009-02-27,1346.54
2009-03-02,1313.88
2009-03-03,1333.99
2009-03-04,1373.0
2009-03-05,1356.25
2009-03-06,1375.72
2009-03-09,1345.63
2009-03-12,1361.63
2009-03-13,1417.45
2009-03-16,1441.03
2009-03-17,1418.13
2009-03-18,1415.66
2009-03-19,1422.42
2009-03-20,1432.06
2009-03-23,1487.77
2009-03-24,1465.96
2009-03-25,1496.03
2009-03-26,1518.66
2009-03-27,1560.07
2009-03-30,1505.33
2009-03-31,1550.35
2009-04-01,1554.59
2009-04-02,1632.02
2009-04-06,1611.47
2009-04-08,1662.54
2009-04-09,1684.58
2009-04-13,1717.28
2009-04-15,1810.84
2009-04-16,1730.72
2009-04-17,1734.41
2009-04-20,1759.08
2009-04-21,1746.32
2009-04-22,1746.88
2009-04-23,1796.02
2009-04-24,1851.83
2009-04-27,1858.25
2009-04-28,1825.95
2009-04-29,1854.44
2009-05-04,1908.3
2009-05-05,1902.86
2009-05-06,1874.06
2009-05-07,1867.02
2009-05-08,1846.57
2009-05-11,1797.16
2009-05-12,1829.4
2009-05-13,1834.28
2009-05-14,1839.71
2009-05-15,1875.51
2009-05-18,2151.82
2009-05-19,2173.1
2009-05-20,2285.98
2009-05-21,2272.02
2009-05-22,2256.91
2009-05-25,2306.82
2009-05-26,2255.29
2009-05-27,2327.25
2009-05-28,2335.97
2009-05-29,2435.84
2009-06-01,2555.36
2009-06-02,2543.06
2009-06-03,2621.12
2009-06-04,2659.11
2009-06-05,2678.19
2009-06-08,2512.33
2009-06-09,2611.75
2009-06-10,2696.11
2009-06-11,2602.68
2009-06-12,2558.22
2009-06-15,2547.56
2009-06-16,2577.11
2009-06-17,2475.96
2009-06-18,2323.09
2009-06-19,2360.28
2009-06-22,2317.84
2009-06-23,2331.02
2009-06-24,2430.73
2009-06-25,2446.32
2009-06-26,2501.51
2009-06-29,2482.0
2009-06-30,2386.2
2009-07-01,2398.25
2009-07-02,2416.98
2009-07-03,2453.31
2009-07-06,2332.87
2009-07-07,2451.99
2009-07-08,2458.53
2009-07-09,2476.46
2009-07-10,2413.92
2009-07-13,2369.92
2009-07-14,2488.54
2009-07-15,2551.95
2009-07-16,2530.69
2009-07-17,2607.67
2009-07-20,2679.77
2009-07-21,2704.73
2009-07-22,2645.26
2009-07-23,2731.28
2009-07-24,2765.51
2009-07-27,2790.42
2009-07-28,2817.39
2009-07-29,2761.77
2009-07-30,2816.7
2009-07-31,2847.91
2009-08-03,2887.35
2009-08-04,2898.24
2009-08-05,2915.69
2009-08-06,2818.6
2009-08-07,2762.78
2009-08-10,2636.02
2009-08-11,2626.71
2009-08-12,2653.07
2009-08-13,2734.82
2009-08-14,2688.4
2009-08-17,2587.88
2009-08-18,2612.49
2009-08-19,2538.47
2009-08-20,2571.51
2009-08-21,2595.42
2009-08-24,2653.2
2009-08-25,2653.51
2009-08-26,2673.6
2009-08-27,2664.89
2009-08-28,2714.16
2009-08-31,2724.2
2009-09-01,2674.23
2009-09-02,2639.69
2009-09-03,2641.8
2009-09-04,2674.62
2009-09-07,2734.37
2009-09-08,2735.0
2009-09-09,2743.56
2009-09-10,2715.37
2009-09-11,2681.25
2009-09-14,2667.35
2009-09-15,2694.37
2009-09-16,2743.25
2009-09-17,2790.07
2009-09-18,2873.14
2009-09-22,2852.49
2009-09-23,2798.3
2009-09-24,2791.23
2009-09-25,2788.78
2009-09-29,2791.49
2009-09-30,2811.98
2009-10-01,2843.32
2009-10-05,2747.25
2009-10-06,2710.52
2009-10-07,2716.64
2009-10-08,2740.2
2009-10-09,2733.26
2009-10-12,2724.6
2009-10-14,2712.29
2009-10-15,2727.59
2009-10-16,2722.14
2009-10-17,2748.71
2009-10-20,2723.17
2009-10-21,2670.12
2009-10-22,2588.85
2009-10-23,2587.34
2009-10-26,2555.89
2009-10-27,2496.01
2009-10-28,2488.16
2009-10-29,2481.53
2009-10-30,2497.37
2009-11-03,2360.68
2009-11-04,2450.64
2009-11-05,2448.43
2009-11-06,2462.48
2009-11-09,2471.48
2009-11-10,2473.01
2009-11-11,2525.49
2009-11-12,2516.78
2009-11-13,2505.04
2009-11-16,2528.87
2009-11-17,2525.97
2009-11-18,2541.82
2009-11-19,2505.75
2009-11-20,2566.55
2009-11-23,2595.32
2009-11-24,2610.19
2009-11-25,2640.68
2009-11-26,2643.44
2009-11-27,2599.8
2009-11-30,2659.8
2009-12-01,2701.83
2009-12-02,2707.25
2009-12-03,2734.04
2009-12-04,2724.52
2009-12-07,2703.38
2009-12-08,2744.34
2009-12-09,2743.86
2009-12-10,2744.51
2009-12-11,2734.37
