date,NIFTY HOSPITALS
2021-08-05,1305.4
2021-08-06,1330.78
2021-08-09,1320.14
2021-08-10,1319.27
2021-08-11,1310.37
2021-08-12,1358.86
2021-08-13,1331.1
2021-08-16,1371.94
2021-08-17,1454.59
2021-08-18,1454.49
2021-08-20,1445.25
2021-08-23,1433.52
2021-08-24,1433.32
2021-08-25,1447.34
2021-08-26,1445.84
2021-08-27,1479.4
2021-08-30,1520.17
2021-08-31,1571.7
2021-09-01,1559.32
2021-09-02,1546.85
2021-09-03,1565.45
2021-09-06,1565.62
2021-09-07,1536.29
2021-09-08,1547.81
2021-09-09,1548.56
2021-09-13,1545.59
2021-09-14,1571.37
2021-09-15,1567.61
2021-09-16,1570.24
2021-09-17,1539.46
2021-09-20,1518.63
2021-09-21,1520.06
2021-09-22,1521.85
2021-09-23,1552.43
2021-09-24,1508.35
2021-09-27,1478.23
2021-09-28,1471.83
2021-09-29,1454.74
2021-09-30,1461.77
2021-10-01,1465.84
2021-10-04,1485.57
2021-10-05,1476.24
2021-10-06,1462.09
2021-10-07,1464.08
2021-10-08,1455.52
2021-10-11,1444.9
2021-10-12,1427.93
2021-10-13,1437.85
2021-10-14,1457.97
2021-10-18,1440.5
2021-10-19,1412.13
2021-10-20,1398.22
2021-10-21,1402.03
2021-10-22,1378.67
2021-10-25,1371.64
2021-10-26,1406.72
2021-10-27,1393.36
2021-10-28,1386.78
2021-10-29,1376.27
2021-11-01,1387.54
2021-11-02,1408.63
2021-11-03,1422.87
2021-11-04,1432.14
2021-11-08,1429.78
2021-11-09,1458.85
2021-11-10,1463.21
2021-11-11,1464.48
2021-11-12,1468.99
2021-11-15,1539.36
2021-11-16,1548.05
2021-11-17,1607.14
2021-11-18,1584.16
2021-11-22,1530.78
2021-11-23,1546.36
2021-11-24,1559.35
2021-11-25,1601.82
2021-11-26,1587.82
2021-11-29,1594.37
2021-11-30,1602.56
2021-12-01,1591.38
2021-12-02,1600.83
2021-12-03,1590.7
2021-12-06,1555.14
2021-12-07,1553.97
2021-12-08,1561.73
2021-12-09,1573.39
2021-12-10,1581.15
2021-12-13,1591.72
2021-12-14,1591.2
2021-12-15,1596.87
2021-12-16,1595.34
2021-12-17,1536.26
2021-12-20,1499.13
2021-12-21,1535.6
2021-12-22,1533.55
2021-12-23,1551.17
2021-12-24,1547.03
2021-12-27,1575.77
2021-12-28,1569.56
2021-12-29,1602.81
2021-12-30,1620.31
2021-12-31,1644.62
2022-01-03,1666.51
2022-01-04,1650.57
2022-01-05,1634.27
2022-01-06,1618.46
2022-01-07,1614.66
2022-01-10,1626.5
2022-01-11,1614.24
2022-01-12,1616.82
2022-01-13,1606.73
2022-01-14,1602.85
2022-01-17,1610.24
2022-01-18,1583.99
2022-01-19,1576.75
2022-01-20,1579.12
2022-01-21,1556.45
2022-01-24,1508.37
2022-01-25,1523.94
2022-01-27,1504.63
2022-01-28,1519.75
2022-01-31,1522.27
2022-02-01,1529.7
2022-02-02,1541.74
2022-02-03,1532.01
2022-02-04,1526.09
2022-02-07,1502.07
2022-02-08,1499.23
2022-02-09,1509.52
2022-02-10,1532.03
2022-02-11,1516.51
2022-02-14,1494.03
2022-02-15,1526.93
2022-02-16,1527.03
2022-02-17,1520.29
2022-02-18,1510.86
2022-02-21,1473.24
2022-02-22,1475.95
2022-02-23,1475.53
2022-02-24,1411.91
2022-02-25,1462.07
2022-02-28,1506.22
2022-03-02,1498.35
2022-03-03,1534.11
2022-03-04,1505.68
2022-03-07,1474.02
2022-03-08,1482.7
2022-03-09,1514.47
2022-03-10,1522.74
2022-03-11,1544.93
2022-03-14,1543.7
2022-03-15,1510.98
2022-03-16,1524.94
2022-03-17,1504.1
2022-03-21,1513.29
2022-03-22,1501.52
2022-03-23,1510.08
2022-03-24,1533.84
2022-03-25,1542.18
2022-03-28,1547.96
2022-03-29,1564.28
2022-03-30,1581.92
2022-03-31,1577.25
2022-04-01,1575.62
2022-04-04,1580.32
2022-04-05,1590.03
2022-04-06,1575.72
2022-04-07,1570.08
2022-04-08,1588.47
2022-04-11,1604.75
2022-04-12,1601.99
2022-04-13,1601.31
2022-04-18,1581.97
2022-04-19,1596.07
2022-04-20,1622.6
2022-04-21,1651.82
2022-04-22,1630.97
2022-04-25,1611.68
2022-04-26,1615.03
2022-04-27,1601.18
2022-04-28,1584.98
2022-04-29,1588.86
2022-05-02,1551.79
2022-05-04,1500.65
2022-05-05,1498.45
2022-05-06,1462.55
2022-05-09,1446.95
2022-05-10,1425.06
2022-05-11,1412.43
2022-05-12,1386.08
2022-05-13,1406.24
2022-05-16,1417.26
2022-05-17,1441.38
2022-05-18,1432.69
2022-05-19,1410.91
2022-05-20,1433.07
2022-05-23,1422.58
2022-05-24,1412.67
2022-05-25,1402.2
2022-05-26,1426.02
2022-05-27,1446.59
2022-05-30,1462.41
2022-05-31,1470.5
2022-06-01,1450.07
2022-06-02,1446.38
2022-06-03,1426.2
2022-06-06,1425.04
2022-06-07,1426.09
2022-06-08,1415.81
2022-06-09,1419.47
2022-06-10,1418.21
2022-06-13,1389.85
2022-06-14,1389.76
2022-06-15,1391.77
2022-06-16,1372.51
2022-06-17,1377.96
2022-06-20,1379.89
2022-06-21,1392.79
2022-06-22,1385.27
2022-06-23,1404.67
2022-06-24,1415.86
2022-06-27,1405.72
2022-06-28,1409.71
2022-06-29,1395.13
2022-06-30,1405.09
2022-07-01,1402.67
2022-07-04,1415.77
2022-07-05,1420.82
2022-07-06,1428.41
2022-07-07,1447.56
2022-07-08,1445.77
2022-07-11,1445.73
2022-07-12,1449.86
2022-07-13,1447.8
2022-07-14,1461.1
2022-07-15,1482.01
2022-07-18,1495.65
2022-07-19,1509.12
2022-07-20,1512.83
2022-07-21,1526.57
2022-07-22,1513.07
2022-07-25,1516.41
2022-07-26,1499.3
2022-07-27,1496.72
2022-07-28,1523.54
2022-07-29,1537.77
2022-08-01,1544.07
2022-08-02,1539.41
2022-08-03,1526.6
2022-08-04,1538.17
2022-08-05,1535.58
2022-08-08,1562.7
2022-08-10,1559.86
2022-08-11,1566.71
2022-08-12,1550.17
2022-08-16,1584.54
2022-08-17,1579.59
2022-08-18,1584.47
2022-08-19,1574.42
2022-08-22,1551.41
2022-08-23,1563.63
2022-08-24,1570.83
2022-08-25,1571.28
2022-08-26,1561.16
2022-08-29,1566.02
2022-08-30,1587.23
2022-09-01,1592.99
2022-09-02,1595.46
2022-09-05,1594.37
2022-09-06,1616.15
2022-09-07,1615.6
2022-09-08,1614.99
2022-09-09,1636.66
2022-09-12,1645.85
2022-09-13,1647.07
2022-09-14,1657.74
2022-09-15,1666.4
2022-09-16,1637.92
2022-09-19,1660.36
2022-09-20,1692.31
2022-09-21,1706.69
2022-09-22,1640.24
2022-09-23,1617.79
2022-09-26,1586.92
2022-09-27,1598.75
2022-09-28,1599.53
2022-09-29,1620.65
2022-09-30,1637.75
2022-10-03,1635.25
2022-10-04,1643.4
2022-10-06,1666.31
2022-10-07,1649.13
2022-10-10,1645.51
2022-10-11,1627.48
2022-10-12,1629.78
2022-10-13,1643.29
2022-10-14,1653.24
2022-10-17,1642.54
2022-10-18,1648.11
2022-10-19,1644.52
2022-10-20,1647.18
2022-10-21,1643.56
2022-10-24,1648.44
2022-10-25,1646.6
2022-10-27,1663.41
2022-10-28,1692.18
2022-10-31,1722.12
2022-11-01,1719.77
2022-11-02,1729.38
2022-11-03,1728.61
2022-11-04,1727.9
2022-11-07,1734.39
2022-11-09,1730.83
2022-11-10,1728.73
2022-11-11,1708.15
2022-11-14,1762.28
2022-11-15,1758.87
2022-11-16,1734.75
2022-11-17,1708.78
2022-11-18,1710.0
2022-11-21,1705.07
2022-11-22,1700.45
2022-11-23,1711.29
2022-11-24,1739.12
2022-11-25,1733.77
2022-11-28,1739.53
2022-11-29,1749.62
2022-11-30,1745.31
2022-12-01,1756.28
2022-12-02,1757.86
2022-12-05,1739.44
2022-12-06,1745.03
2022-12-07,1734.06
2022-12-08,1717.37
2022-12-09,1715.19
2022-12-12,1724.99
2022-12-13,1714.69
2022-12-14,1715.34
2022-12-15,1704.0
2022-12-16,1686.83
2022-12-19,1694.58
2022-12-20,1706.39
2022-12-21,1736.62
2022-12-22,1731.98
2022-12-23,1688.73
2022-12-26,1715.94
2022-12-27,1710.95
2022-12-28,1715.32
2022-12-29,1728.02
2022-12-30,1719.18
2023-01-02,1714.87
2023-01-03,1719.87
2023-01-04,1707.18
2023-01-05,1710.14
2023-01-06,1689.33
2023-01-09,1711.36
2023-01-10,1718.6
2023-01-11,1697.63
2023-01-12,1702.67
2023-01-13,1706.14
2023-01-16,1696.21
2023-01-17,1699.89
2023-01-18,1702.9
2023-01-19,1696.99
2023-01-20,1679.12
2023-01-23,1679.46
2023-01-24,1666.05
2023-01-25,1657.35
2023-01-27,1667.95
2023-01-30,1659.82
2023-01-31,1679.72
2023-02-01,1657.61
2023-02-02,1654.58
2023-02-03,1648.1
2023-02-06,1666.66
2023-02-07,1669.69
2023-02-08,1678.31
2023-02-09,1670.59
2023-02-10,1679.37
2023-02-13,1652.39
2023-02-14,1633.88
2023-02-15,1654.31
2023-02-16,1677.82
2023-02-17,1676.48
2023-02-20,1679.26
2023-02-21,1680.94
2023-02-22,1663.59
2023-02-23,1660.89
2023-02-24,1660.46
2023-02-27,1647.43
2023-02-28,1643.31
2023-03-01,1647.48
2023-03-02,1655.95
2023-03-03,1664.88
2023-03-06,1683.12
2023-03-08,1673.47
2023-03-09,1691.87
2023-03-10,1685.19
2023-03-13,1682.3
2023-03-14,1674.54
2023-03-15,1686.93
2023-03-16,1676.68
2023-03-17,1676.98
2023-03-20,1675.65
2023-03-21,1652.04
2023-03-22,1656.31
2023-03-23,1647.92
2023-03-24,1641.05
2023-03-27,1643.52
2023-03-28,1647.37
2023-03-29,1662.36
2023-03-31,1658.56
2023-04-03,1647.09
2023-04-05,1622.93
2023-04-06,1630.5
2023-04-10,1650.17
2023-04-11,1666.8
2023-04-12,1704.02
2023-04-13,1707.67
2023-04-17,1709.8
2023-04-18,1702.91
2023-04-19,1710.95
2023-04-20,1707.07
2023-04-21,1698.8
2023-04-24,1698.16
2023-04-25,1690.27
2023-04-26,1680.89
2023-04-27,1685.84
2023-04-28,1711.84
2023-05-02,1718.67
2023-05-03,1724.95
2023-05-04,1734.73
2023-05-05,1742.39
2023-05-08,1747.38
2023-05-09,1738.78
2023-05-10,1740.85
2023-05-11,1751.81
2023-05-12,1774.57
2023-05-15,1813.45
2023-05-16,1804.39
2023-05-17,1821.45
2023-05-18,1826.7
2023-05-19,1833.64
2023-05-22,1882.11
2023-05-23,1884.75
2023-05-24,1892.93
2023-05-25,1890.71
2023-05-26,1892.57
2023-05-29,1890.38
2023-05-30,1883.55
2023-05-31,1902.9
2023-06-01,1907.2
2023-06-02,1908.83
2023-06-05,1890.83
2023-06-06,1915.3
2023-06-07,1956.61
2023-06-08,1940.73
2023-06-09,1954.16
2023-06-12,1958.65
2023-06-13,1979.2
2023-06-14,2014.03
2023-06-15,2057.01
2023-06-16,2066.23
2023-06-19,2065.69
2023-06-20,2059.89
2023-06-21,2071.8
2023-06-22,2066.23
2023-06-23,2043.43
2023-06-26,2064.56
2023-06-27,2086.75
2023-06-28,2075.0
2023-06-30,2083.13
2023-07-03,2079.34
2023-07-04,2097.29
2023-07-05,2100.7
2023-07-06,2146.11
2023-07-07,2140.37
2023-07-10,2145.01
2023-07-11,2186.44
2023-07-12,2186.08
2023-07-13,2169.86
2023-07-14,2176.76
2023-07-17,2187.41
2023-07-18,2167.89
2023-07-19,2188.01
2023-07-20,2196.41
2023-07-21,2184.61
2023-07-24,2195.82
2023-07-25,2210.6
2023-07-26,2194.03
2023-07-27,2193.06
2023-07-28,2203.41
2023-07-31,2193.39
2023-08-01,2164.18
2023-08-02,2132.39
2023-08-03,2119.51
2023-08-04,2116.01
2023-08-07,2130.18
2023-08-08,2104.68
2023-08-09,2098.29
2023-08-10,2074.02
2023-08-11,2059.92
2023-08-14,2048.98
2023-08-16,2073.96
2023-08-17,2080.45
2023-08-18,2073.32
2023-08-21,2104.48
2023-08-22,2141.48
2023-08-23,2145.41
2023-08-24,2136.53
2023-08-25,2133.9
2023-08-28,2134.62
2023-08-29,2135.0
2023-08-30,2142.14
2023-08-31,2159.76
2023-09-01,2129.74
2023-09-04,2146.71
2023-09-05,2182.57
2023-09-06,2180.25
2023-09-07,2195.93
2023-09-08,2203.47
2023-09-11,2230.71
2023-09-12,2196.31
2023-09-13,2168.6
2023-09-14,2202.82
2023-09-15,2186.92
2023-09-18,2165.9
2023-09-20,2149.72
2023-09-21,2152.53
2023-09-22,2138.89
2023-09-25,2151.88
2023-09-26,2158.18
2023-09-27,2181.47
2023-09-28,2177.35
2023-09-29,2184.93
2023-10-03,2212.51
2023-10-04,2177.32
2023-10-05,2160.38
2023-10-06,2161.8
2023-10-09,2161.67
2023-10-10,2162.9
2023-10-11,2177.05
2023-10-12,2186.71
2023-10-13,2202.82
2023-10-16,2196.32
2023-10-17,2191.71
2023-10-18,2187.36
2023-10-19,2192.29
2023-10-20,2184.17
2023-10-23,2153.17
2023-10-25,2140.98
2023-10-26,2099.53
2023-10-27,2136.58
2023-10-30,2151.33
2023-10-31,2135.57
2023-11-01,2143.39
2023-11-02,2159.81
2023-11-03,2190.99
2023-11-06,2208.27
2023-11-07,2221.26
2023-11-08,2214.71
2023-11-09,2242.0
2023-11-10,2274.54
2023-11-12,2294.29
2023-11-13,2286.5
2023-11-15,2286.3
2023-11-16,2313.52
2023-11-17,2335.11
2023-11-20,2358.92
2023-11-21,2366.52
2023-11-22,2375.57
2023-11-23,2368.34
2023-11-24,2357.17
2023-11-28,2355.71
2023-11-29,2395.76
2023-11-30,2432.73
2023-12-01,2458.31
2023-12-04,2500.39
2023-12-05,2498.89
2023-12-06,2457.13
2023-12-07,2449.29
2023-12-08,2448.67
2023-12-11,2458.76
2023-12-12,2452.81
2023-12-13,2477.03
2023-12-14,2486.75
2023-12-15,2477.65
2023-12-18,2466.13
2023-12-19,2478.45
2023-12-20,2421.22
2023-12-21,2443.01
2023-12-22,2453.65
2023-12-26,2492.1
2023-12-27,2504.82
2023-12-28,2533.49
2023-12-29,2545.8
2024-01-01,2575.21
2024-01-02,2556.08
2024-01-03,2556.5
2024-01-04,2607.42
2024-01-05,2616.79
2024-01-08,2599.63
2024-01-09,2618.3
2024-01-10,2631.79
2024-01-11,2669.65
2024-01-12,2636.1
2024-01-15,2622.34
2024-01-16,2624.21
2024-01-17,2641.39
2024-01-18,2643.59
2024-01-19,2685.38
2024-01-20,2689.67
2024-01-23,2710.75
2024-01-24,2708.83
2024-01-25,2698.85
2024-01-29,2706.13
2024-01-30,2704.53
2024-01-31,2787.34
2024-02-01,2807.01
2024-02-02,2789.61
2024-02-05,2796.07
2024-02-06,2862.33
2024-02-07,2867.22
2024-02-08,2883.63
2024-02-09,2911.63
2024-02-12,2938.45
2024-02-13,2980.49
2024-02-14,2960.45
2024-02-15,2964.19
2024-02-16,2976.69
2024-02-19,2951.02
2024-02-20,2996.5
2024-02-21,2994.12
2024-02-22,3014.95
2024-02-23,3004.17
2024-02-26,2955.23
2024-02-27,2972.75
2024-02-28,2961.08
2024-02-29,2838.15
2024-03-01,2748.37
2024-03-02,2790.85
2024-03-04,2702.39
2024-03-05,2662.83
2024-03-06,2665.71
2024-03-07,2673.71
2024-03-11,2721.63
2024-03-12,2692.58
2024-03-13,2599.95
2024-03-14,2623.78
2024-03-15,2604.05
2024-03-18,2650.27
2024-03-19,2655.67
2024-03-20,2691.25
2024-03-21,2693.77
2024-03-22,2723.7
2024-03-26,2763.44
2024-03-27,2782.2
2024-03-28,2819.64
2024-04-01,2847.53
2024-04-02,2850.97
2024-04-03,2838.02
2024-04-04,2868.26
2024-04-05,2867.04
2024-04-08,2885.43
2024-04-09,2907.16
2024-04-10,2934.52
2024-04-12,2916.17
2024-04-15,2881.88
2024-04-16,2882.95
2024-04-18,2813.41
2024-04-19,2817.85
2024-04-22,2834.6
2024-04-23,2843.89
2024-04-24,2904.71
2024-04-25,2890.26
2024-04-26,2879.57
2024-04-29,2883.44
2024-04-30,2877.22
2024-05-02,2846.33
2024-05-03,2873.03
2024-05-06,2924.98
2024-05-07,2867.24
2024-05-08,2861.92
2024-05-09,2829.29
2024-05-10,2836.9
2024-05-13,2820.04
2024-05-14,2833.69
2024-05-15,2836.74
2024-05-16,2863.2
2024-05-17,2868.94
2024-05-18,2885.04
2024-05-21,2861.56
2024-05-22,2827.04
2024-05-23,2796.37
2024-05-24,2767.68
2024-05-27,2773.28
2024-05-28,2775.37
2024-05-29,2742.69
2024-05-30,2709.0
2024-05-31,2743.32
2024-06-03,2721.95
2024-06-04,2669.71
2024-06-05,2740.44
2024-06-06,2786.0
2024-06-07,2830.45
2024-06-10,2816.11
2024-06-11,2826.15
2024-06-12,2892.98
2024-06-13,2937.12
2024-06-14,3012.2
2024-06-18,2989.98
2024-06-19,2974.26
2024-06-20,2987.46
2024-06-21,2983.65
2024-06-24,2952.6
2024-06-25,2951.59
2024-06-26,2929.1
2024-06-27,2948.07
2024-06-28,2960.04
2024-07-01,2961.97
2024-07-02,2912.29
2024-07-03,2948.18
2024-07-04,2954.43
2024-07-05,2952.26
2024-07-08,2941.62
2024-07-09,2929.24
2024-07-10,2960.28
2024-07-11,2948.5
2024-07-12,2943.55
2024-07-15,2970.85
2024-07-16,2970.77
2024-07-18,2981.78
2024-07-19,2944.99
2024-07-22,2964.23
2024-07-23,2952.73
2024-07-24,2960.82
2024-07-25,2978.95
2024-07-26,3035.97
2024-07-29,3026.52
2024-07-30,3033.16
2024-07-31,3023.22
2024-08-01,3040.71
2024-08-02,3030.47
2024-08-05,2963.51
2024-08-06,2969.91
2024-08-07,2969.64
2024-08-08,2977.2
2024-08-09,2993.43
2024-08-12,2967.06
2024-08-13,2984.55
2024-08-14,2987.47
2024-08-16,3049.21
2024-08-19,3041.82
2024-08-20,3038.92
2024-08-21,3061.15
2024-08-22,3076.2
2024-08-23,3099.4
2024-08-26,3088.0
2024-08-27,3090.76
2024-08-28,3107.61
2024-08-29,3105.2
2024-08-30,3142.06
2024-09-02,3164.11
2024-09-03,3164.59
2024-09-04,3162.65
2024-09-05,3196.47
2024-09-06,3184.99
2024-09-09,3167.21
2024-09-10,3196.28
2024-09-11,3198.78
2024-09-12,3270.82
2024-09-13,3269.18
2024-09-16,3311.13
2024-09-17,3327.75
2024-09-18,3300.84
2024-09-19,3317.25
2024-09-20,3393.99
2024-09-23,3380.36
2024-09-24,3362.31
2024-09-25,3333.28
2024-09-26,3350.94
2024-09-27,3330.7
2024-09-30,3355.74
2024-10-01,3340.75
2024-10-03,3259.86
2024-10-04,3216.24
2024-10-07,3193.58
2024-10-08,3272.16
2024-10-09,3296.11
2024-10-10,3303.26
2024-10-11,3286.44
2024-10-14,3305.7
2024-10-15,3373.52
2024-10-16,3357.95
2024-10-17,3307.06
2024-10-18,3312.81
2024-10-21,3312.84
2024-10-22,3224.87
2024-10-23,3232.04
2024-10-24,3243.82
2024-10-25,3269.71
2024-10-28,3319.52
2024-10-29,3335.06
2024-10-30,3360.79
2024-10-31,3429.43
2024-11-01,3425.28
2024-11-04,3434.94
2024-11-05,3410.68
2024-11-06,3460.01
2024-11-07,3511.08
2024-11-08,3512.19
2024-11-11,3455.74
2024-11-12,3471.13
2024-11-13,3387.28
2024-11-14,3433.82
2024-11-18,3420.31
2024-11-19,3432.04
2024-11-21,3465.27
2024-11-22,3514.31
2024-11-25,3528.7
2024-11-26,3504.68
2024-11-27,3491.58
2024-11-28,3449.23
2024-11-29,3486.6
2024-12-02,3566.09
2024-12-03,3621.55
2024-12-04,3679.51
2024-12-05,3688.24
2024-12-06,3718.02
2024-12-09,3743.58
2024-12-10,3719.19
2024-12-11,3733.22
2024-12-12,3738.08
2024-12-13,3728.24
2024-12-16,3713.22
2024-12-17,3724.89
2024-12-18,3714.26
2024-12-19,3707.81
2024-12-20,3679.15
2024-12-23,3668.8
2024-12-24,3673.58
2024-12-26,3664.74
2024-12-27,3657.68
2024-12-30,3735.22
2024-12-31,3702.52
2025-01-01,3728.05
2025-01-02,3764.82
2025-01-03,3783.37
2025-01-06,3765.09
2025-01-07,3839.17
2025-01-08,3811.67
2025-01-09,3775.89
2025-01-10,3688.2
2025-01-13,3553.62
2025-01-14,3546.24
2025-01-15,3488.38
2025-01-16,3525.99
2025-01-17,3485.72
2025-01-20,3525.61
2025-01-21,3543.23
2025-01-22,3511.16
2025-01-23,3549.22
2025-01-24,3470.19
2025-01-27,3397.41
2025-01-28,3365.86
2025-01-29,3452.23
2025-01-30,3498.06
2025-01-31,3523.55
2025-02-01,3538.57
2025-02-03,3543.61
2025-02-04,3583.13
2025-02-05,3671.93
2025-02-06,3629.01
2025-02-07,3616.85
2025-02-10,3504.67
2025-02-11,3368.01
2025-02-12,3364.42
2025-02-13,3351.55
2025-02-14,3308.89
2025-02-17,3313.26
2025-02-18,3314.58
2025-02-19,3317.86
2025-02-20,3355.71
2025-02-21,3345.27
2025-02-24,3280.7
2025-02-25,3326.97
2025-02-27,3322.81
2025-02-28,3248.87
2025-03-03,3310.7
2025-03-04,3328.65
2025-03-05,3397.27
2025-03-06,3396.59
2025-03-07,3335.73
2025-03-10,3310.61
2025-03-11,3333.46
2025-03-12,3334.07
2025-03-13,3335.15
2025-03-17,3353.43
2025-03-18,3411.63
2025-03-19,3484.24
2025-03-20,3557.33
2025-03-21,3613.97
2025-03-24,3647.98
2025-03-25,3660.86
2025-03-26,3585.64
2025-03-27,3625.69
2025-03-28,3679.61
2025-04-01,3646.21
2025-04-02,3636.92
2025-04-03,3643.66
2025-04-04,3642.72
2025-04-07,3545.71
2025-04-08,3608.44
2025-04-09,3666.71
2025-04-11,3670.32
2025-04-15,3716.71
2025-04-16,3735.85
2025-04-17,3772.92
2025-04-21,3760.77
2025-04-22,3817.18
2025-04-23,3826.85
2025-04-24,3787.58
2025-04-25,3711.97
2025-04-28,3765.71
2025-04-29,3745.08
2025-04-30,3746.31
2025-05-02,3733.29
2025-05-05,3780.18
2025-05-06,3799.74
2025-05-07,3795.98
2025-05-08,3713.59
2025-05-09,3704.15
2025-05-12,3799.78
2025-05-13,3805.07
2025-05-14,3845.2
2025-05-15,3885.06
2025-05-16,3855.2
2025-05-19,3840.06
2025-05-20,3799.78
2025-05-21,3785.41
2025-05-22,3854.09
2025-05-23,3882.31
2025-05-26,3870.54
2025-05-27,3842.61
2025-05-28,3823.8
2025-05-29,3816.39
2025-05-30,3821.01
2025-06-02,3846.4
2025-06-03,3845.83
2025-06-04,3873.01
2025-06-05,3884.83
2025-06-06,3925.72
2025-06-09,3939.67
2025-06-10,3944.28
2025-06-11,3946.08
2025-06-12,3952.01
2025-06-13,3990.4
2025-06-16,4048.64
2025-06-17,3979.01
2025-06-18,3945.94
2025-06-19,3910.64
2025-06-20,3940.62
2025-06-23,3941.72
2025-06-24,3952.31
2025-06-25,4041.57
2025-06-26,4104.28
2025-06-27,4149.1
2025-06-30,4153.22
2025-07-01,4159.16
2025-07-02,4144.94
2025-07-03,4225.28
2025-07-04,4237.73
2025-07-07,4243.08
2025-07-08,4218.57
2025-07-09,4177.87
2025-07-10,4161.43
2025-07-11,4117.99
2025-07-14,4163.91
2025-07-15,4202.76
2025-07-16,4216.81
2025-07-17,4217.23
2025-07-18,4186.46
2025-07-21,4162.37
2025-07-22,4188.27
2025-07-23,4257.35
2025-07-24,4312.86
2025-07-25,4301.29
2025-07-28,4280.45
2025-07-29,4296.94
2025-07-30,4271.82
2025-07-31,4288.23
2025-08-01,4280.68
2025-08-04,4246.1
2025-08-05,4268.3
2025-08-06,4247.72
2025-08-07,4259.33
2025-08-08,4236.34
2025-08-11,4313.04
2025-08-12,4346.31
2025-08-13,4433.54
2025-08-14,4393.6
2025-08-18,4413.8
2025-08-19,4447.92
2025-08-20,4463.62
2025-08-21,4458.17
2025-08-22,4417.53
2025-08-25,4392.32
2025-08-26,4343.14
2025-08-28,4300.07
2025-08-29,4272.64
2025-09-01,4325.65
2025-09-02,4336.93
2025-09-03,4387.7
2025-09-04,4413.49
2025-09-05,4400.72
2025-09-08,4368.55
2025-09-09,4380.97
2025-09-10,4441.96
2025-09-11,4424.13
2025-09-12,4416.35
2025-09-15,4406.41
2025-09-16,4397.39
2025-09-17,4390.89
2025-09-18,4394.78
2025-09-19,4377.63
2025-09-22,4374.16
2025-09-23,4351.32
2025-09-24,4309.32
2025-09-25,4303.49
2025-09-26,4246.21
2025-09-29,4258.62
2025-09-30,4255.88
2025-10-01,4266.98
2025-10-03,4243.58
2025-10-06,4433.64
2025-10-07,4401.22
2025-10-08,4450.34
2025-10-09,4465.34
2025-10-10,4458.66
2025-10-13,4491.01
2025-10-14,4491.89
2025-10-15,4513.16
2025-10-16,4557.55
2025-10-17,4571.49
2025-10-20,4607.63
2025-10-21,4620.87
2025-10-23,4561.1
2025-10-24,4501.18
2025-10-27,4508.16
2025-10-28,4523.06
2025-10-29,4548.93
2025-10-30,4514.91
2025-10-31,4421.23
2025-11-03,4449.07
2025-11-04,4436.29
2025-11-06,4412.3
2025-11-07,4413.76
2025-11-10,4311.48
2025-11-11,4264.01
2025-11-12,4268.5
2025-11-13,4245.02
2025-11-14,4219.79
2025-11-17,4295.31
2025-11-18,4246.38
2025-11-19,4287.06
2025-11-20,4309.51
2025-11-21,4294.98
2025-11-24,4287.11
2025-11-25,4274.63
2025-11-26,4310.92
2025-11-27,4288.29
2025-11-28,4284.21
2025-12-01,4236.16
2025-12-02,4228.99
2025-12-03,4183.66
2025-12-04,4167.3
2025-12-05,4155.7
2025-12-08,4077.31
