date,NIFTY BANK
2001-02-26,1090.46
2001-02-27,1086.55
2001-02-28,1171.65
2001-03-01,1246.48
2001-03-02,1238.15
2001-03-05,1226.43
2001-03-07,1214.78
2001-03-08,1215.22
2001-03-09,1184.86
2001-03-12,1129.37
2001-03-13,1057.12
2001-03-14,1098.69
2001-03-15,1117.11
2001-03-16,1080.19
2001-03-19,1081.65
2001-03-20,1070.35
2001-03-21,1084.69
2001-03-22,1055.65
2001-03-23,1037.46
2001-03-26,1031.9
2001-03-27,1027.01
2001-03-28,1039.05
2001-03-29,1040.9
2001-03-30,991.51
2001-04-02,960.27
2001-04-03,970.45
2001-04-04,970.06
2001-04-06,968.43
2001-04-09,974.95
2001-04-10,964.02
2001-04-11,977.64
2001-04-12,963.35
2001-04-16,985.97
2001-04-17,1017.88
2001-04-18,1043.69
2001-04-19,1051.72
2001-04-20,1039.52
2001-04-23,1040.88
2001-04-24,1037.48
2001-04-25,1037.13
2001-04-26,1040.23
2001-04-27,996.95
2001-04-30,992.76
2001-05-02,1012.2
2001-05-03,1003.26
2001-05-04,1024.42
2001-05-07,1048.21
2001-05-08,1052.51
2001-05-09,1041.19
2001-05-10,1075.81
2001-05-11,1059.35
2001-05-14,1070.86
2001-05-15,1063.38
2001-05-16,1060.41
2001-05-17,1072.46
2001-05-18,1061.18
2001-05-21,1049.76
2001-05-22,1040.02
2001-05-23,1046.15
2001-05-24,1045.19
2001-05-25,1030.83
2001-05-28,1041.87
2001-05-29,1058.39
2001-05-30,1040.46
2001-05-31,1034.54
2001-06-01,1021.04
2001-06-04,1012.14
2001-06-05,998.01
2001-06-06,1010.44
2001-06-07,1033.63
2001-06-08,1036.9
2001-06-11,1041.18
2001-06-12,1018.69
2001-06-13,1031.1
2001-06-14,1012.39
2001-06-15,994.41
2001-06-18,978.31
2001-06-19,1008.67
2001-06-20,1022.45
2001-06-21,1028.42
2001-06-22,1015.99
2001-06-25,977.21
2001-06-26,990.77
2001-06-27,991.51
2001-06-28,992.66
2001-06-29,986.95
2001-07-02,987.64
2001-07-03,984.94
2001-07-04,991.96
2001-07-05,991.85
2001-07-06,982.16
2001-07-09,978.61
2001-07-10,971.25
2001-07-11,981.95
2001-07-12,1005.36
2001-07-13,1004.62
2001-07-16,1006.09
2001-07-17,999.32
2001-07-18,1002.94
2001-07-19,1000.27
2001-07-20,984.92
2001-07-23,981.89
2001-07-24,969.27
2001-07-25,963.75
2001-07-26,951.55
2001-07-27,972.85
2001-07-30,966.32
2001-07-31,960.83
2001-08-01,971.52
2001-08-02,972.09
2001-08-03,968.11
2001-08-06,966.43
2001-08-07,963.64
2001-08-08,949.76
2001-08-09,942.72
2001-08-10,953.84
2001-08-13,963.51
2001-08-14,975.12
2001-08-16,967.26
2001-08-17,970.08
2001-08-20,964.36
2001-08-21,954.93
2001-08-23,953.06
2001-08-24,954.17
2001-08-27,954.08
2001-08-28,944.57
2001-08-29,946.29
2001-08-30,938.3
2001-08-31,939.57
2001-09-03,940.38
2001-09-04,927.59
2001-09-05,927.45
2001-09-06,917.34
2001-09-07,911.98
2001-09-10,907.04
2001-09-11,899.98
2001-09-12,864.41
2001-09-13,860.68
2001-09-14,819.21
2001-09-17,755.86
2001-09-18,791.3
2001-09-19,803.51
2001-09-20,786.3
2001-09-21,743.7
2001-09-24,749.83
2001-09-25,753.43
2001-09-26,762.5
2001-09-27,778.3
2001-09-28,797.97
2001-10-01,810.26
2001-10-03,800.19
2001-10-04,808.18
2001-10-05,816.48
2001-10-08,806.7
2001-10-09,812.29
2001-10-10,824.19
2001-10-11,837.9
2001-10-12,858.59
2001-10-15,855.42
2001-10-16,855.47
2001-10-17,863.45
2001-10-18,852.81
2001-10-19,857.27
2001-10-22,868.73
2001-10-23,878.3
2001-10-24,884.62
2001-10-25,884.74
2001-10-29,893.42
2001-10-30,878.0
2001-10-31,875.15
2001-11-01,890.79
2001-11-02,901.93
2001-11-05,913.44
2001-11-06,920.37
2001-11-07,912.1
2001-11-08,909.11
2001-11-09,908.28
2001-11-12,908.74
2001-11-13,908.92
2001-11-14,911.91
2001-11-15,914.89
2001-11-19,916.24
2001-11-20,928.5
2001-11-21,919.01
2001-11-22,926.3
2001-11-23,925.13
2001-11-26,937.95
2001-11-27,955.93
2001-11-28,948.28
2001-11-29,928.1
2001-12-03,917.02
2001-12-04,913.9
2001-12-05,914.62
2001-12-06,927.17
2001-12-07,918.91
2001-12-10,920.29
2001-12-11,896.32
2001-12-12,891.55
2001-12-13,879.65
2001-12-14,860.17
2001-12-18,861.58
2001-12-19,849.87
2001-12-20,862.46
2001-12-21,853.34
2001-12-24,844.82
2001-12-26,842.07
2001-12-27,821.02
2001-12-28,842.97
2001-12-31,868.61
2002-01-01,870.25
2002-01-02,878.02
2002-01-03,903.03
2002-01-04,903.9
2002-01-07,886.59
2002-01-08,877.93
2002-01-09,900.17
2002-01-10,898.38
2002-01-11,892.85
2002-01-14,936.27
2002-01-15,931.9
2002-01-16,938.1
2002-01-17,939.65
2002-01-18,948.48
2002-01-21,938.47
2002-01-22,945.75
2002-01-23,937.39
2002-01-24,920.09
2002-01-25,920.64
2002-01-28,939.24
2002-01-29,922.23
2002-01-30,926.8
2002-01-31,917.79
2002-02-01,923.38
2002-02-04,946.63
2002-02-05,941.37
2002-02-06,1010.0
2002-02-07,1024.33
2002-02-08,1040.08
2002-02-11,1044.52
2002-02-12,1038.77
2002-02-13,1057.17
2002-02-14,1084.27
2002-02-15,1098.96
2002-02-18,1110.33
2002-02-19,1071.29
2002-02-20,1071.04
2002-02-21,1086.94
2002-02-22,1105.02
2002-02-25,1103.63
2002-02-26,1128.19
2002-02-27,1109.17
2002-02-28,1028.48
2002-03-01,1062.9
2002-03-04,1071.61
2002-03-05,1063.62
2002-03-06,1062.83
2002-03-07,1066.41
2002-03-08,1061.88
2002-03-11,1052.04
2002-03-12,1038.31
2002-03-13,1042.31
2002-03-14,1044.2
2002-03-15,1060.62
2002-03-18,1063.66
2002-03-19,1058.06
2002-03-20,1049.09
2002-03-21,1040.72
2002-03-22,1035.42
2002-03-26,1034.71
2002-03-27,1038.8
2002-03-28,1033.58
2002-04-01,1075.53
2002-04-02,1067.3
2002-04-03,1054.8
2002-04-04,1057.07
2002-04-05,1055.93
2002-04-08,1069.59
2002-04-09,1060.36
2002-04-10,1063.45
2002-04-11,1074.6
2002-04-12,1077.53
2002-04-15,1075.01
2002-04-16,1073.39
2002-04-17,1079.7
2002-04-18,1085.84
2002-04-19,1072.59
2002-04-22,1064.28
2002-04-23,1066.43
2002-04-24,1069.73
2002-04-25,1071.85
2002-04-26,1070.19
2002-04-29,1041.25
2002-04-30,1044.13
2002-05-02,1042.4
2002-05-03,1045.67
2002-05-06,1050.76
2002-05-07,1062.13
2002-05-08,1068.38
2002-05-09,1071.6
2002-05-10,1069.22
2002-05-13,1069.68
2002-05-14,1075.13
2002-05-15,1062.0
2002-05-16,1044.12
2002-05-17,1040.53
2002-05-20,1023.48
2002-05-21,1022.69
2002-05-22,1016.44
2002-05-23,1005.44
2002-05-24,1026.47
2002-05-27,1022.56
2002-05-28,1016.69
2002-05-29,1020.86
2002-05-30,1020.23
2002-05-31,1039.46
2002-06-03,1045.7
2002-06-04,1042.61
2002-06-05,1075.26
2002-06-06,1103.25
2002-06-07,1084.99
2002-06-10,1114.64
2002-06-11,1147.46
2002-06-12,1163.08
2002-06-13,1139.27
2002-06-14,1127.52
2002-06-17,1141.47
2002-06-18,1143.18
2002-06-19,1122.26
2002-06-20,1133.25
2002-06-21,1117.0
2002-06-24,1109.26
2002-06-25,1099.19
2002-06-26,1086.91
2002-06-27,1079.17
2002-06-28,1094.7
2002-07-01,1112.56
2002-07-02,1122.06
2002-07-03,1130.55
2002-07-04,1128.22
2002-07-05,1127.44
2002-07-08,1125.28
2002-07-09,1124.85
2002-07-10,1126.29
2002-07-11,1104.92
2002-07-12,1103.54
2002-07-15,1093.19
2002-07-16,1081.32
2002-07-17,1081.81
2002-07-18,1090.39
2002-07-19,1085.86
2002-07-22,1073.26
2002-07-23,1079.16
2002-07-24,1063.88
2002-07-25,1058.85
2002-07-26,1042.31
2002-07-29,1055.65
2002-07-30,1040.32
2002-07-31,1055.87
2002-08-01,1057.55
2002-08-02,1051.87
2002-08-05,1052.98
2002-08-06,1050.04
2002-08-07,1051.9
2002-08-08,1042.89
2002-08-09,1047.8
2002-08-12,1045.45
2002-08-13,1045.88
2002-08-14,1035.97
2002-08-16,1041.49
2002-08-19,1044.76
2002-08-20,1044.35
2002-08-21,1042.2
2002-08-22,1041.21
2002-08-23,1052.69
2002-08-26,1055.49
2002-08-27,1052.33
2002-08-28,1052.14
2002-08-29,1051.51
2002-08-30,1073.63
2002-09-02,1064.34
2002-09-03,1054.16
2002-09-04,1055.17
2002-09-05,1054.65
2002-09-06,1058.4
2002-09-09,1051.61
2002-09-11,1059.09
2002-09-12,1068.66
2002-09-13,1062.2
2002-09-16,1054.23
2002-09-17,1063.31
2002-09-18,1063.12
2002-09-19,1060.11
2002-09-20,1049.0
2002-09-23,1042.62
2002-09-24,1043.75
2002-09-25,1033.49
2002-09-26,1028.68
2002-09-27,1044.91
2002-09-30,1045.23
2002-10-01,1046.67
2002-10-03,1040.45
2002-10-04,1042.49
2002-10-07,1045.23
2002-10-08,1041.41
2002-10-09,1035.34
2002-10-10,1027.9
2002-10-11,1032.38
2002-10-14,1035.77
2002-10-16,1030.57
2002-10-17,1026.1
2002-10-18,1010.45
2002-10-21,1018.11
2002-10-22,1008.47
2002-10-23,1012.37
2002-10-24,995.15
2002-10-25,996.55
2002-10-28,1014.43
2002-10-29,1023.82
2002-10-30,1010.03
2002-10-31,1011.86
2002-11-01,1021.44
2002-11-04,1033.47
2002-11-05,1035.02
2002-11-07,1023.02
2002-11-08,1009.95
2002-11-11,1003.63
2002-11-12,1001.41
2002-11-13,982.78
2002-11-14,995.09
2002-11-15,1002.41
2002-11-18,1017.23
2002-11-20,1015.37
2002-11-21,1013.08
2002-11-22,1051.46
2002-11-25,1073.77
2002-11-26,1076.63
2002-11-27,1088.16
2002-11-28,1090.52
2002-11-29,1094.95
2002-12-02,1103.58
2002-12-03,1095.6
2002-12-04,1090.56
2002-12-05,1105.54
2002-12-06,1134.2
2002-12-09,1137.04
2002-12-10,1124.97
2002-12-11,1156.37
2002-12-12,1171.14
2002-12-13,1205.92
2002-12-16,1201.66
2002-12-17,1213.94
2002-12-18,1235.99
2002-12-19,1209.22
2002-12-20,1212.69
2002-12-23,1215.7
2002-12-24,1227.2
2002-12-26,1227.62
2002-12-27,1237.86
2002-12-30,1223.45
2002-12-31,1226.5
2003-01-01,1221.38
2003-01-02,1225.33
2003-01-03,1208.27
2003-01-06,1181.49
2003-01-07,1191.95
2003-01-08,1201.06
2003-01-09,1229.66
2003-01-10,1244.56
2003-01-13,1254.52
2003-01-14,1252.2
2003-01-15,1263.38
2003-01-16,1272.59
2003-01-17,1287.98
2003-01-20,1298.18
2003-01-21,1346.59
2003-01-22,1345.86
2003-01-23,1335.45
2003-01-24,1305.28
2003-01-27,1284.41
2003-01-28,1298.95
2003-01-29,1291.41
2003-01-30,1274.96
2003-01-31,1273.62
2003-02-03,1295.99
2003-02-04,1310.24
2003-02-05,1300.56
2003-02-06,1335.46
2003-02-07,1319.52
2003-02-10,1291.14
2003-02-11,1289.73
2003-02-12,1306.8
2003-02-14,1296.76
2003-02-17,1327.68
2003-02-18,1336.19
2003-02-19,1371.27
2003-02-20,1362.6
2003-02-21,1366.71
2003-02-24,1374.0
2003-02-25,1343.73
2003-02-26,1322.99
2003-02-27,1341.38
2003-02-28,1306.02
2003-03-03,1323.41
2003-03-04,1317.45
2003-03-05,1307.29
2003-03-06,1293.2
2003-03-07,1267.9
2003-03-10,1250.81
2003-03-11,1262.2
2003-03-12,1265.65
2003-03-13,1261.89
2003-03-17,1253.5
2003-03-19,1265.82
2003-03-20,1292.33
2003-03-21,1301.23
2003-03-22,1303.1
2003-03-24,1278.33
2003-03-25,1272.55
2003-03-26,1280.06
2003-03-27,1265.9
2003-03-28,1289.04
2003-03-31,1265.19
2003-04-01,1276.41
2003-04-02,1291.94
2003-04-03,1312.14
2003-04-04,1341.38
2003-04-07,1361.65
2003-04-08,1357.96
2003-04-09,1330.5
2003-04-10,1338.76
2003-04-11,1337.4
2003-04-15,1333.69
2003-04-16,1350.62
2003-04-17,1343.11
2003-04-21,1341.87
2003-04-22,1335.35
2003-04-23,1307.99
2003-04-24,1312.44
2003-04-25,1311.52
2003-04-28,1338.51
2003-04-29,1315.72
2003-04-30,1314.71
2003-05-02,1342.61
2003-05-05,1368.05
2003-05-06,1371.4
2003-05-07,1354.4
2003-05-08,1358.45
2003-05-09,1372.69
2003-05-12,1427.48
2003-05-13,1433.12
2003-05-14,1470.89
2003-05-15,1495.98
2003-05-16,1494.09
2003-05-19,1484.23
2003-05-20,1512.42
2003-05-21,1528.28
2003-05-22,1527.12
2003-05-23,1552.77
2003-05-26,1605.39
2003-05-27,1583.42
2003-05-28,1641.98
2003-05-29,1665.19
2003-05-30,1630.94
2003-06-02,1538.83
2003-06-03,1573.74
2003-06-04,1617.5
2003-06-05,1600.4
2003-06-06,1610.91
2003-06-09,1607.99
2003-06-10,1529.89
2003-06-11,1567.45
2003-06-12,1553.28
2003-06-13,1543.22
2003-06-16,1534.35
2003-06-17,1568.19
2003-06-18,1542.47
2003-06-19,1562.89
2003-06-20,1577.13
2003-06-23,1560.88
2003-06-24,1565.32
2003-06-25,1605.89
2003-06-26,1607.28
2003-06-27,1626.3
2003-06-30,1657.56
2003-07-01,1647.2
2003-07-02,1654.0
2003-07-03,1738.82
2003-07-04,1709.95
2003-07-07,1723.76
2003-07-08,1705.06
2003-07-09,1703.4
2003-07-10,1702.29
2003-07-11,1740.12
2003-07-14,1795.12
2003-07-15,1802.79
2003-07-16,1854.21
2003-07-17,1808.88
2003-07-18,1803.51
2003-07-21,1774.17
2003-07-22,1719.49
2003-07-23,1724.87
2003-07-24,1749.69
2003-07-25,1819.6
2003-07-28,1815.1
2003-07-29,1811.66
2003-07-30,1857.27
2003-07-31,1807.94
2003-08-01,1811.03
2003-08-04,1803.76
2003-08-05,1752.07
2003-08-06,1717.49
2003-08-07,1754.91
2003-08-08,1790.21
2003-08-11,1800.53
2003-08-12,1796.8
2003-08-13,1810.97
2003-08-14,1804.62
2003-08-18,1806.5
2003-08-19,1801.62
2003-08-20,1841.42
2003-08-21,1892.15
2003-08-22,1896.56
2003-08-25,1839.42
2003-08-26,1914.02
2003-08-27,1996.06
2003-08-28,1972.29
2003-08-29,1940.75
2003-09-01,1943.36
2003-09-02,1977.27
2003-09-03,1930.04
2003-09-04,1901.94
2003-09-05,1917.6
2003-09-08,1940.57
2003-09-09,1922.37
2003-09-10,1961.05
2003-09-11,1990.13
2003-09-12,1947.58
2003-09-15,1875.79
2003-09-16,1928.2
2003-09-17,1901.92
2003-09-18,1818.34
2003-09-19,1829.34
2003-09-22,1802.87
2003-09-23,1847.61
2003-09-24,1894.51
2003-09-25,1865.79
2003-09-26,1942.72
2003-09-29,1980.41
2003-09-30,2029.28
2003-10-01,2020.88
2003-10-03,2068.22
2003-10-06,2120.85
2003-10-07,2117.43
2003-10-08,2168.51
2003-10-09,2207.47
2003-10-10,2182.45
2003-10-13,2231.92
2003-10-14,2191.86
2003-10-15,2238.36
2003-10-16,2323.51
2003-10-17,2301.07
2003-10-20,2261.97
2003-10-21,2206.6
2003-10-22,2202.46
2003-10-23,2187.35
2003-10-24,2248.07
2003-10-25,2273.85
2003-10-27,2216.64
2003-10-28,2191.11
2003-10-29,2222.92
2003-10-30,2245.47
2003-10-31,2294.55
2003-11-03,2274.45
2003-11-04,2297.64
2003-11-05,2255.09
2003-11-06,2245.89
2003-11-07,2236.74
2003-11-10,2221.05
2003-11-11,2243.3
2003-11-12,2255.41
2003-11-13,2218.53
2003-11-14,2172.6
2003-11-15,2182.89
2003-11-17,2204.56
2003-11-18,2170.5
2003-11-19,2125.95
2003-11-20,2088.73
2003-11-21,2091.38
2003-11-24,2107.18
2003-11-25,2136.87
2003-11-27,2182.13
2003-11-28,2202.46
2003-12-01,2214.85
2003-12-02,2251.44
2003-12-03,2302.05
2003-12-04,2268.73
2003-12-05,2216.77
2003-12-08,2206.71
2003-12-09,2242.43
2003-12-10,2251.79
2003-12-11,2306.6
2003-12-12,2323.29
2003-12-15,2324.99
2003-12-16,2321.27
2003-12-17,2303.25
2003-12-18,2309.56
2003-12-19,2342.6
2003-12-22,2427.54
2003-12-23,2426.03
2003-12-24,2455.8
2003-12-26,2508.39
2003-12-29,2594.09
2003-12-30,2567.22
2003-12-31,2588.78
2004-01-01,2665.13
2004-01-02,2683.1
2004-01-05,2746.5
2004-01-06,2728.57
2004-01-07,2687.7
2004-01-08,2772.22
2004-01-09,2840.66
2004-01-12,2872.29
2004-01-13,2905.62
2004-01-14,2973.04
2004-01-15,2931.86
2004-01-16,2810.77
2004-01-19,2882.17
2004-01-20,2783.78
2004-01-21,2641.15
2004-01-22,2609.2
2004-01-23,2741.86
2004-01-27,2848.42
2004-01-28,2777.72
2004-01-29,2732.41
2004-01-30,2639.88
2004-02-03,2515.55
2004-02-04,2607.48
2004-02-05,2616.38
2004-02-06,2700.55
2004-02-09,2821.99
2004-02-10,2831.4
2004-02-11,2831.31
2004-02-12,2797.04
2004-02-13,2816.84
2004-02-16,2808.21
2004-02-17,2839.97
2004-02-18,2821.99
2004-02-19,2736.65
2004-02-20,2694.19
2004-02-23,2613.34
2004-02-24,2647.94
2004-02-25,2607.77
2004-02-26,2561.0
2004-02-27,2603.97
2004-03-01,2676.63
2004-03-03,2680.09
2004-03-04,2698.12
2004-03-05,2730.13
2004-03-08,2808.1
2004-03-09,2808.39
2004-03-10,2730.5
2004-03-11,2671.38
2004-03-12,2669.23
2004-03-15,2598.43
2004-03-16,2583.42
2004-03-17,2634.67
2004-03-18,2583.07
2004-03-19,2599.73
2004-03-22,2532.39
2004-03-23,2520.85
2004-03-24,2529.19
2004-03-25,2584.37
2004-03-26,2725.62
2004-03-29,2799.16
2004-03-30,2781.98
2004-03-31,2813.7
2004-04-01,2871.0
2004-04-02,2909.32
2004-04-05,2882.8
2004-04-06,2894.16
2004-04-07,2894.42
2004-04-08,2909.73
2004-04-12,2894.17
2004-04-13,2968.02
2004-04-15,2989.47
2004-04-16,3024.1
2004-04-17,3044.75
2004-04-19,3026.49
2004-04-20,3025.56
2004-04-21,3059.15
2004-04-22,3122.04
2004-04-23,3184.48
2004-04-27,3041.48
2004-04-28,3083.55
2004-04-29,3085.63
2004-04-30,3059.79
2004-05-03,2985.05
2004-05-04,3054.71
2004-05-05,3039.99
2004-05-06,3113.52
2004-05-07,3084.6
2004-05-10,3020.87
2004-05-11,2881.84
2004-05-12,2879.69
2004-05-13,2820.14
2004-05-14,2455.52
2004-05-17,2110.57
2004-05-18,2365.46
2004-05-19,2542.94
2004-05-20,2522.66
2004-05-21,2519.43
2004-05-24,2551.25
2004-05-25,2540.61
2004-05-26,2540.15
2004-05-27,2529.58
2004-05-28,2356.95
2004-05-31,2243.9
2004-06-01,2280.78
2004-06-02,2379.0
2004-06-03,2372.6
2004-06-04,2426.59
2004-06-07,2448.78
2004-06-08,2448.33
2004-06-09,2453.07
2004-06-10,2420.74
2004-06-11,2335.81
2004-06-14,2245.7
2004-06-15,2289.49
2004-06-16,2290.27
2004-06-17,2338.46
2004-06-18,2308.43
2004-06-21,2256.24
2004-06-22,2240.81
2004-06-23,2200.95
2004-06-24,2251.58
2004-06-25,2225.37
2004-06-28,2278.16
2004-06-29,2266.1
2004-06-30,2256.12
2004-07-01,2306.71
2004-07-02,2285.93
2004-07-05,2214.08
2004-07-06,2253.38
2004-07-07,2255.91
2004-07-08,2162.17
2004-07-09,2202.2
2004-07-12,2221.18
2004-07-13,2203.73
2004-07-14,2207.43
2004-07-15,2218.92
2004-07-16,2267.65
2004-07-19,2292.83
2004-07-20,2301.55
2004-07-21,2326.2
2004-07-22,2393.88
2004-07-23,2399.15
2004-07-26,2410.28
2004-07-27,2329.94
2004-07-28,2290.42
2004-07-29,2341.76
2004-07-30,2332.29
2004-08-02,2348.31
2004-08-03,2333.67
2004-08-04,2316.9
2004-08-05,2382.3
2004-08-06,2346.82
2004-08-09,2386.98
2004-08-10,2387.65
2004-08-11,2352.92
2004-08-12,2332.47
2004-08-13,2322.8
2004-08-16,2308.32
2004-08-17,2314.7
2004-08-18,2292.32
2004-08-19,2290.19
2004-08-20,2263.22
2004-08-23,2228.25
2004-08-24,2235.75
2004-08-25,2269.99
2004-08-26,2316.33
2004-08-27,2306.34
2004-08-30,2348.5
2004-08-31,2345.16
2004-09-01,2381.83
2004-09-02,2364.8
2004-09-03,2405.82
2004-09-06,2415.53
2004-09-07,2434.08
2004-09-08,2443.92
2004-09-09,2413.81
2004-09-10,2434.91
2004-09-13,2401.69
2004-09-14,2411.66
2004-09-15,2404.33
2004-09-16,2436.8
2004-09-17,2500.66
2004-09-20,2501.62
2004-09-21,2540.11
