Symbol,Industry
3MINDIA,SERVICES
ABB,INDUSTRIAL MANUFACTURING
ACC,CEMENT & CEMENT PRODUCTS
AIAENG,INDUSTRIAL MANUFACTURING
APLAPOLLO,METALS
AUBANK,FINANCIAL SERVICES
AARTIIND,CHEMICALS
AAVAS,FINANCIAL SERVICES
ABBOTINDIA,PHARMA
ADANIGAS,OIL & GAS
ADANIGREEN,POWER
ADANIPORTS,SERVICES
ADANIPOWER,POWER
ADANITRANS,POWER
ABCAPITAL,FINANCIAL SERVICES
ABFRL,CONSUMER GOODS
ADVENZYMES,CONSUMER GOODS
AEGISCHEM,OIL & GAS
AFFLE,IT
AJANTPHARM,PHARMA
AKZOINDIA,CONSUMER GOODS
APLLTD,PHARMA
ALKEM,PHARMA
ALKYLAMINE,CHEMICALS
ALLCARGO,SERVICES
AMARAJABAT,AUTOMOBILE
AMBER,CONSUMER GOODS
AMBUJACEM,CEMENT & CEMENT PRODUCTS
APOLLOHOSP,HEALTHCARE SERVICES
APOLLOTYRE,AUTOMOBILE
ARVINDFASN,CONSUMER GOODS
ASAHIINDIA,AUTOMOBILE
ASHOKLEY,AUTOMOBILE
ASHOKA,CONSTRUCTION
ASIANPAINT,CONSUMER GOODS
ASTERDM,HEALTHCARE SERVICES
ASTRAZEN,PHARMA
ASTRAL,INDUSTRIAL MANUFACTURING
ATUL,CHEMICALS
AUROPHARMA,PHARMA
AVANTIFEED,CONSUMER GOODS
DMART,CONSUMER GOODS
AXISBANK,FINANCIAL SERVICES
BASF,CHEMICALS
BEML,INDUSTRIAL MANUFACTURING
BSE,FINANCIAL SERVICES
BAJAJ-AUTO,AUTOMOBILE
BAJAJCON,CONSUMER GOODS
BAJAJELEC,CONSUMER GOODS
BAJFINANCE,FINANCIAL SERVICES
BAJAJFINSV,FINANCIAL SERVICES
BAJAJHLDNG,FINANCIAL SERVICES
BALKRISIND,AUTOMOBILE
BALMLAWRIE,INDUSTRIAL MANUFACTURING
BALRAMCHIN,CONSUMER GOODS
BANDHANBNK,FINANCIAL SERVICES
BANKBARODA,FINANCIAL SERVICES
BANKINDIA,FINANCIAL SERVICES
MAHABANK,FINANCIAL SERVICES
BATAINDIA,CONSUMER GOODS
BAYERCROP,FERTILISERS & PESTICIDES
BERGEPAINT,CONSUMER GOODS
BDL,INDUSTRIAL MANUFACTURING
BEL,INDUSTRIAL MANUFACTURING
BHARATFORG,INDUSTRIAL MANUFACTURING
BHEL,INDUSTRIAL MANUFACTURING
BPCL,OIL & GAS
BHARATRAS,FERTILISERS & PESTICIDES
BHARTIARTL,TELECOM
INFRATEL,TELECOM
BIOCON,PHARMA
BIRLACORPN,CEMENT & CEMENT PRODUCTS
BSOFT,IT
BLISSGVS,PHARMA
BLUEDART,SERVICES
BLUESTARCO,CONSUMER GOODS
BBTC,CONSUMER GOODS
BOMDYEING,CONSTRUCTION
BOSCHLTD,AUTOMOBILE
BRIGADE,CONSTRUCTION
BRITANNIA,CONSUMER GOODS
CARERATING,FINANCIAL SERVICES
CCL,CONSUMER GOODS
CESC,POWER
CRISIL,FINANCIAL SERVICES
CSBBANK,FINANCIAL SERVICES
CADILAHC,PHARMA
CANFINHOME,FINANCIAL SERVICES
CANBK,FINANCIAL SERVICES
CAPLIPOINT,PHARMA
CGCL,FINANCIAL SERVICES
CARBORUNIV,INDUSTRIAL MANUFACTURING
CASTROLIND,OIL & GAS
CEATLTD,AUTOMOBILE
CENTRALBK,FINANCIAL SERVICES
CDSL,FINANCIAL SERVICES
CENTURYPLY,CONSUMER GOODS
CENTURYTEX,PAPER
CERA,CONSTRUCTION
CHAMBLFERT,FERTILISERS & PESTICIDES
CHENNPETRO,OIL & GAS
CHOLAHLDNG,FINANCIAL SERVICES
CHOLAFIN,FINANCIAL SERVICES
CIPLA,PHARMA
CUB,FINANCIAL SERVICES
COALINDIA,METALS
COCHINSHIP,INDUSTRIAL MANUFACTURING
COLPAL,CONSUMER GOODS
CONCOR,SERVICES
COROMANDEL,FERTILISERS & PESTICIDES
CREDITACC,FINANCIAL SERVICES
CROMPTON,CONSUMER GOODS
CUMMINSIND,INDUSTRIAL MANUFACTURING
CYIENT,IT
DBCORP,MEDIA & ENTERTAINMENT
DCBBANK,FINANCIAL SERVICES
DCMSHRIRAM,CONSUMER GOODS
DLF,CONSTRUCTION
DABUR,CONSUMER GOODS
DALBHARAT,CEMENT & CEMENT PRODUCTS
DEEPAKNTR,CHEMICALS
