symbol,qe,same_url,o_filed,r_filed,pbt_o,pbt_r,pat_o,pat_r,remark,pbt_changed
HARDWYN,31-MAR-2026,False,30-May-2026,nan,49492000.0,49492000.0,34218000.0,34218000.0,Revised file containing Related Party Tran,False
UMIYA-MRO,30-JUN-2026,False,10-Jul-2026,nan,32867000.0,32867000.0,23689000.0,23689000.0,nan,False
STCINDIA,31-MAR-2026,False,25-Aug-2026,nan,,,,,nan,False
CONCOR,31-MAR-2026,False,25-May-2026,nan,3399800000.0,3399800000.0,2582300000.0,2582300000.0,nan,False
MCLOUD,31-MAR-2025,False,05-May-2025,nan,,45267000.0,,37237000.0,It has been observed by the Exchange that ,False
VENKEYS,31-DEC-2025,False,09-Feb-2026,nan,661400000.0,661400000.0,,485800000.0,nan,False
REPL,30-JUN-2026,False,14-Aug-2026,nan,5298000.0,5297000.0,5342000.0,5340000.0,Discrepancies found in Financial results s,True
WINDMACHIN,31-MAR-2026,False,09-May-2026,nan,48214000.0,48214000.0,21512000.0,21512000.0,Discrepancies observed with by BSE Limited,False
TOKYOPLAST,31-MAR-2026,False,30-Apr-2026,nan,7985000.0,7985000.0,5360000.0,5360000.0,The Company has inadvertently mentioned th,False
AVANTEL,31-MAR-2025,False,26-Apr-2025,nan,,95675000.0,,73564000.0,NSE remarks received,False
VETO,31-MAR-2025,False,04-Jun-2025,nan,98083000.0,98083000.0,73365000.0,73365000.0,Resubmission of XBRL file to rectify discr,False
ADANIGREEN,30-SEP-2025,False,28-Oct-2025,nan,,2920000000.0,,6440000000.0,Revised Integrated Filing_Financial _XBRL_,False
RECLTD,31-MAR-2026,False,28-Apr-2026,nan,44145400000.0,44145400000.0,33750800000.0,33750800000.0,nan,False
IEL,31-MAR-2025,False,26-Apr-2025,nan,,-1191400000.0,,-1191200000.0,As advised by NSE officials,False
SULA,30-SEP-2025,False,10-Nov-2025,nan,,44000000.0,,31500000.0,This is in reference to your email regardi,False
